,RealCoupon,ModelCoupon,PercentError,,RealCoupon,ModelCoupon
7/11/2014,2.9433,2.975838405,0.011055076,7/10/2014,3.20099,3.132025007
7/10/2014,2.95084,2.986249288,0.011999732,7/9/2014,3.21851,3.134664184
7/9/2014,2.9625,2.985815073,0.007870067,7/8/2014,3.23294,3.149256178
7/8/2014,2.97889,2.99816872,0.00647178,7/7/2014,3.26648,3.203276748
7/7/2014,3.01268,3.051033754,0.012730776,7/3/2014,3.2817,3.225405347
7/3/2014,3.03623,3.07630576,0.013199184,7/2/2014,3.25805,3.216566632
7/2/2014,3.00822,3.07244467,0.021349725,7/1/2014,3.21078,3.156824255
7/1/2014,2.97088,3.016629512,0.015399313,6/30/2014,3.16006,3.111847012
6/30/2014,2.91924,2.973543893,0.018602065,6/27/2014,3.17238,3.130859316
6/27/2014,2.93513,2.991402137,0.01917194,6/26/2014,3.1705,3.124849087
6/26/2014,2.92924,2.985120281,0.019076716,6/25/2014,3.1949,3.153023658
6/25/2014,2.95328,3.010786024,0.019471917,6/24/2014,3.21805,3.182714695
6/24/2014,2.97706,3.038451903,0.020621655,6/23/2014,3.24201,3.206898321
6/23/2014,2.99321,3.062288708,0.02307847,6/20/2014,3.23871,3.209578808
6/20/2014,2.98627,3.066099294,0.026732109,6/19/2014,3.2407,3.208009864
6/19/2014,2.98868,3.064760814,0.025456327,6/18/2014,3.25545,3.200413912
6/18/2014,3.00031,3.053771494,0.017818657,6/17/2014,3.29552,3.237553264
6/17/2014,3.04781,3.091403858,0.014303338,6/16/2014,3.2402,3.193528229
6/16/2014,2.981,3.050394903,0.023279069,6/13/2014,3.25321,3.202877369
6/13/2014,2.98928,3.063187466,0.02472417,6/12/2014,3.23683,3.19053233
6/12/2014,2.97098,3.054915283,0.028251716,6/11/2014,3.2836,3.244113466
6/11/2014,3.0259,3.108389943,0.027261292,6/10/2014,3.28637,3.260579651
6/10/2014,3.02966,3.124876399,0.031428081,6/9/2014,3.26478,3.247952768
6/9/2014,3.01973,3.115308713,0.03165141,6/6/2014,3.24953,3.236138566
6/6/2014,3.00345,3.107441708,0.034624085,6/5/2014,3.23776,3.235697207
6/5/2014,3.0002,3.111156827,0.036983143,6/4/2014,3.26353,3.253855452
6/4/2014,3.02631,3.127087194,0.033300354,6/3/2014,3.25946,3.23819776
6/3/2014,3.02259,3.111737287,0.029493675,6/2/2014,3.20774,3.190796765
6/2/2014,2.97983,3.065202925,0.028650267,5/30/2014,3.13272,3.117679768
5/30/2014,2.90964,2.995476175,0.029500617,5/29/2014,3.1236,3.101147602
5/29/2014,2.90362,2.979607675,0.026169979,5/28/2014,3.09658,3.075610667
5/28/2014,2.87227,2.955701424,0.029047208,5/27/2014,3.18634,3.129903909
