Pricing Date,FNMA,FNCI,GNMA,GNMAII
20120320,3.24144,-1,-1,-1
20120319,3.23638,-1,-1,-1
20120316,3.13095,-1,-1,-1
20120315,3.15896,-1,-1,-1
20120314,3.16959,-1,-1,-1
20120313,2.9914,-1,-1,-1
20120312,2.91624,-1,-1,-1
20120309,2.92195,-1,-1,-1
20120308,2.93364,-1,-1,-1
20120307,2.89962,-1,-1,-1
20120306,2.86506,-1,-1,-1
20120305,2.90077,-1,-1,-1
20120302,2.8908,-1,-1,-1
20120301,2.92872,-1,-1,-1
20120229,2.88173,-1,-1,-1
20120228,2.8102,-1,-1,-1
20120227,2.82054,-1,-1,-1
20120224,2.84685,-1,-1,-1
20120223,2.83483,-1,-1,-1
20120222,2.87313,-1,-1,-1
20120221,2.92316,-1,-1,-1
20120217,2.86836,-1,-1,-1
20120216,2.83167,-1,-1,-1
20120215,2.78221,-1,-1,-1
20120214,2.76681,-1,-1,-1
20120213,2.81749,-1,-1,-1
20120210,2.80975,-1,-1,-1
20120209,2.84585,-1,-1,-1
20120208,2.76703,-1,-1,-1
20120207,2.7946,-1,-1,-1
20120206,2.76133,-1,-1,-1
20120203,2.81014,-1,-1,-1
20120202,2.7164,-1,-1,-1
20120201,2.77294,-1,-1,-1
20120131,2.7763,-1,-1,-1
20120130,2.80895,-1,-1,-1
20120127,2.80824,-1,-1,-1
20120126,2.84358,-1,-1,-1
20120125,2.90516,-1,-1,-1
20120124,2.95988,-1,-1,-1
20120123,2.97256,-1,-1,-1
20120120,2.97611,-1,-1,-1
20120119,2.96477,-1,-1,-1
20120118,2.90295,-1,-1,-1
20120117,2.86264,-1,-1,-1
20120113,2.81631,-1,-1,-1
20120112,2.85234,-1,-1,-1
20120111,2.88377,-1,-1,-1
20120110,2.91779,-1,-1,-1
20120109,2.87572,-1,-1,-1
20120106,2.85738,-1,-1,-1
20120105,2.91011,-1,-1,-1
20120104,2.9957,-1,-1,-1
20120103,2.99221,-1,-1,-1
20111230,3.0169,-1,-1,-1
20111229,3.02888,-1,-1,-1
20111228,3.04824,-1,-1,-1
20111227,3.15254,-1,-1,-1
20111223,3.1705,-1,-1,-1
20111222,3.09573,-1,-1,-1
20111221,3.10621,-1,-1,-1
20111220,3.06827,-1,-1,-1
20111219,2.98945,-1,-1,-1
20111216,3.00104,-1,-1,-1
20111215,3.05125,-1,-1,-1
20111214,3.0099,-1,-1,-1
20111213,3.0836,-1,-1,-1
20111212,3.12819,-1,-1,-1
20111209,3.13669,-1,-1,-1
20111208,3.05821,-1,-1,-1
20111207,3.09012,-1,-1,-1
20111206,3.17019,-1,-1,-1
20111205,3.15649,-1,-1,-1
20111202,3.14293,-1,-1,-1
20111201,3.20921,-1,-1,-1
