asOfDate,4y7y_ATM,5y7y_ATM,3y7y_ATM,5y10y_ATM
11/8/2013,105.4632596,104.1035085,106.0549171,100.1034389
11/7/2013,103.5263565,102.841443,103.4790155,99.00532622
11/6/2013,103.7915917,103.1519284,103.6748658,99.30163422
11/5/2013,104.0953425,103.4493047,103.9590621,99.58281077
11/4/2013,102.7116419,102.318561,102.3582938,98.70237228
11/1/2013,103.075942,102.6606209,102.7472278,98.99583026
10/31/2013,101.9856259,102.0511506,101.2342477,98.49017481
10/30/2013,101.0968405,101.196089,100.1438745,97.70643414
10/29/2013,100.510065,100.8633727,99.56486618,97.37115804
10/28/2013,100.7205511,100.9794863,99.81079176,97.48739964
10/25/2013,101.2514314,101.4735891,100.3589302,97.99770596
10/24/2013,101.6537501,101.8407424,100.7929428,98.17386999
10/23/2013,101.4196453,101.6756813,100.4325371,98.07964989
10/22/2013,102.0435842,102.0691883,101.3351996,98.41668306
10/21/2013,103.5759358,103.1327886,103.3627631,99.32898742
10/18/2013,103.5895444,103.1103563,103.4147275,99.41255345
10/17/2013,103.5993515,102.999181,103.5592867,99.3051879
10/16/2013,104.4342909,103.4543032,104.663914,99.63374688
10/15/2013,104.9868194,103.8576299,105.4212731,99.97480227
10/11/2013,104.5383857,103.3972569,105.0003266,99.5726586
10/10/2013,104.4719533,103.3334141,104.9304556,99.51187654
10/9/2013,104.3654104,103.373812,104.6763792,99.6519119
10/8/2013,103.8079594,102.7697306,104.1337012,99.41528979
10/7/2013,103.9121296,102.8691086,104.3295419,99.4856926
10/4/2013,104.2532938,103.0546865,104.7891954,99.63605264
10/3/2013,103.8146025,102.7245529,104.272286,99.38111127
10/2/2013,104.6917767,103.4368049,105.1878482,100.0510538
10/1/2013,105.1180974,103.7877185,105.7484736,100.3720708
9/30/2013,104.8428431,103.6417787,105.3475922,100.2693436
9/27/2013,104.8098864,103.6748862,105.2741911,100.1442105
9/26/2013,103.9104969,102.8114056,104.342518,99.61537978
9/25/2013,103.2684177,102.3183544,103.4730383,99.21061764
