asOfDate,RealCoupon,ModelCoupon,RealMortgageRate
3/15/2013,2.66434,2.731999104,3.49
3/14/2013,2.70546,2.764030983,3.49
3/13/2013,2.70044,2.739929961,3.58
3/12/2013,2.70646,2.738994551,3.58
3/11/2013,2.73998,2.764614188,3.58
3/8/2013,2.75192,2.766484122,3.58
3/7/2013,2.67331,2.713725304,3.58
3/6/2013,2.61255,2.663686573,3.445
3/5/2013,2.56076,2.628644635,3.445
3/4/2013,2.54578,2.62134167,3.445
3/1/2013,2.52993,2.620174856,3.445
2/28/2013,2.54484,2.644945898,3.445
2/27/2013,2.57322,2.65371677,3.46
2/26/2013,2.53896,2.628508461,3.46
2/25/2013,2.55786,2.634058339,3.46
2/22/2013,2.62514,2.681817267,3.46
2/21/2013,2.62574,2.690625066,3.46
2/20/2013,2.63797,2.720849716,3.51
2/19/2013,2.63802,2.72369675,3.51
2/15/2013,2.62079,2.703696066,3.51
2/14/2013,2.60855,2.699269101,3.51
2/13/2013,2.65372,2.744118173,3.48
2/12/2013,2.60701,2.708276216,3.48
2/11/2013,2.56531,2.675747831,3.48
2/8/2013,2.57318,2.68181613,3.48
2/7/2013,2.55136,2.679060128,3.48
2/6/2013,2.55943,2.68416538,3.48
2/5/2013,2.60052,2.72792885,3.48
2/4/2013,2.55563,2.673158932,3.48
2/1/2013,2.59141,2.713338,3.48
1/31/2013,2.57377,2.682794021,3.48
1/30/2013,2.57729,2.704749096,3.455
1/29/2013,2.55981,2.683436491,3.455
1/28/2013,2.53933,2.664803391,3.455
1/25/2013,2.50532,2.624446894,3.455
1/24/2013,2.36742,2.510614206,3.455
1/23/2013,2.34331,2.493699063,3.345
1/22/2013,2.35221,2.488418113,3.345
1/18/2013,2.35028,2.495632079,3.345
1/17/2013,2.36891,2.512972611,3.345
1/16/2013,2.29441,2.449222725,3.305
1/15/2013,2.29384,2.449830349,3.305
1/14/2013,2.2784,2.479738879,3.305
1/11/2013,2.31308,2.499826027,3.305
1/10/2013,2.32919,2.510564286,3.305
1/9/2013,2.29263,2.473165176,3.325
1/8/2013,2.31701,2.4890942,3.325
1/7/2013,2.34263,2.51722051,3.325
1/4/2013,2.38072,2.532480753,3.325
1/3/2013,2.36511,2.521813885,3.325
1/2/2013,2.26242,2.487058189,3.265
12/31/2012,2.20009,2.424650415,3.265
12/28/2012,2.18544,2.385752368,3.265
12/27/2012,2.1768,2.402494996,3.265
12/26/2012,2.19828,2.432954749,3.275
12/24/2012,2.21511,2.4437928,3.275
12/21/2012,2.18757,2.420538533,3.275
12/20/2012,2.22135,2.452935081,3.275
