asOfDate,2yrSwap,10yrSwap,SwapVol,Coupon
5/11/2012,0.602531,1.9858,94.63880418,2.80528
5/10/2012,0.577517,2.01783,94.55583854,2.82461
5/9/2012,0.586349,1.996599,94.44651173,2.83276
5/8/2012,0.563435,1.988941,94.38775281,2.8457
5/7/2012,0.548979,2.015294,94.3749221,2.85847
5/4/2012,0.545586,2.012936,93.77000217,2.85087
5/3/2012,0.542781,2.047059,95.8098772,2.88233
5/2/2012,0.546598,2.048309,95.51167455,2.87338
5/1/2012,0.545673,2.079913,96.74150171,2.89085
4/30/2012,0.550124,2.040259,94.80958496,2.85859
4/27/2012,0.556965,2.059553,95.87488768,2.87167
4/26/2012,0.556916,2.08713,97.01847584,2.8924
4/25/2012,0.554732,2.105056,98.06313229,2.92241
4/24/2012,0.576022,2.087208,98.51334561,2.90097
4/23/2012,0.57002,2.054191,98.67905798,2.87081
4/20/2012,0.565436,2.077835,99.29202898,2.90335
4/19/2012,0.565571,2.064306,98.92928309,2.88744
4/18/2012,0.559675,2.093332,99.71495481,2.93046
4/17/2012,0.559027,2.112905,99.85254156,2.9571
4/16/2012,0.565642,2.079946,99.47791871,2.91808
4/13/2012,0.565088,2.103069,99.48389784,2.93227
4/12/2012,0.566479,2.149779,99.40117924,2.96745
4/11/2012,0.584462,2.130501,98.69382036,2.93078
4/10/2012,0.599123,2.096826,98.35952976,2.91099
4/9/2012,0.605074,2.116743,98.04159955,2.91152
4/6/2012,0.609694,2.142481,98.9587522,2.93072
4/5/2012,0.629798,2.274439,102.2011951,3.05396
4/4/2012,0.624931,2.33448,102.1903253,3.1088
4/3/2012,0.619457,2.374087,101.668036,3.16492
4/2/2012,0.584532,2.277654,99.6600856,3.04496
3/30/2012,0.581466,2.289431,100.868191,3.06692
3/29/2012,0.578788,2.224584,99.85982971,3.02196
3/28/2012,0.571669,2.257719,101.0927323,3.05684
3/27/2012,0.565392,2.245549,102.0915293,3.0399
3/26/2012,0.59725,2.316739,103.9849279,3.11828
3/23/2012,0.61073,2.308003,103.7853003,3.13245
3/22/2012,0.631607,2.344967,104.4945837,3.15708
3/21/2012,0.640509,2.367511,105.4207373,3.15732
3/20/2012,0.660798,2.454938,106.6578543,3.24144
3/19/2012,0.632212,2.450264,106.3690085,3.23638
3/16/2012,0.613832,2.353497,103.8871251,3.13095
3/15/2012,0.630928,2.34011,104.0744598,3.15896
3/14/2012,0.649358,2.326678,105.6756762,3.16959
3/13/2012,0.606115,2.177142,101.2190245,2.9914
3/12/2012,0.575122,2.099936,99.88284747,2.91624
3/9/2012,0.575171,2.114734,100.1084745,2.92195
3/8/2012,0.556388,2.094177,99.89020438,2.93364
3/7/2012,0.553006,2.053173,100.0596723,2.89962
3/6/2012,0.554638,2.029732,100.9256455,2.86506
3/5/2012,0.559189,2.081997,101.3156326,2.90077
3/2/2012,0.526496,2.068239,100.5079482,2.8908
3/1/2012,0.553877,2.117532,101.4870807,2.92872
2/29/2012,0.560412,2.065167,100.0191825,2.88173
2/28/2012,0.571122,2.025057,98.40179571,2.8102
2/27/2012,0.591143,2.023129,98.58705355,2.82054
2/24/2012,0.617264,2.078851,98.68315153,2.84685
2/23/2012,0.598775,2.077405,98.56531344,2.83483
2/22/2012,0.589849,2.090209,98.38356318,2.87313
2/21/2012,0.595098,2.134746,98.10531272,2.92316
2/17/2012,0.581223,2.081736,97.5140702,2.86836
2/16/2012,0.583831,2.063799,96.84686274,2.83167
2/15/2012,0.558461,2.006119,95.80577987,2.78221
2/14/2012,0.571119,2.004388,97.57114323,2.76681
2/13/2012,0.569374,2.070696,98.4697623,2.81749
2/10/2012,0.54395,2.046386,97.09878372,2.80975
2/9/2012,0.533152,2.122302,97.60867952,2.84585
2/8/2012,0.536051,2.089492,95.67150507,2.76703
2/7/2012,0.542529,2.076421,95.90544553,2.7946
2/6/2012,0.514413,2.00897,94.45413205,2.76133
2/3/2012,0.507671,2.057029,95.77273176,2.81014
2/2/2012,0.48642,1.927897,93.19160338,2.7164
2/1/2012,0.501235,1.939796,93.61256152,2.77294
1/31/2012,0.51659,1.911542,93.81648941,2.7763
1/30/2012,0.541076,1.959645,93.98608377,2.80895
1/27/2012,0.534574,2.012364,94.03194544,2.80824
1/26/2012,0.529491,2.034065,93.95137474,2.84358
1/25/2012,0.560758,2.110387,97.46013046,2.90516
1/24/2012,0.582914,2.167679,100.2735434,2.95988
1/23/2012,0.579462,2.185449,100.553808,2.97256
1/20/2012,0.592287,2.1558,100.2210237,2.97611
1/19/2012,0.579943,2.095046,98.78374724,2.96477
