asOfDate,RawRate,Point,Rate
1/14/2013,3.38,0.7,3.305
1/11/2013,3.38,0.7,3.305
1/10/2013,3.38,0.7,3.305
1/9/2013,3.4,0.7,3.325
1/8/2013,3.4,0.7,3.325
1/7/2013,3.4,0.7,3.325
1/4/2013,3.4,0.7,3.325
1/3/2013,3.4,0.7,3.325
1/2/2013,3.34,0.7,3.265
12/31/2012,3.34,0.7,3.265
12/28/2012,3.34,0.7,3.265
12/27/2012,3.34,0.7,3.265
12/26/2012,3.35,0.7,3.275
12/24/2012,3.35,0.7,3.275
12/21/2012,3.35,0.7,3.275
12/20/2012,3.35,0.7,3.275
12/19/2012,3.37,0.7,3.295
12/18/2012,3.37,0.7,3.295
12/17/2012,3.37,0.7,3.295
12/14/2012,3.37,0.7,3.295
12/13/2012,3.37,0.7,3.295
12/12/2012,3.32,0.7,3.245
12/11/2012,3.32,0.7,3.245
12/10/2012,3.32,0.7,3.245
12/7/2012,3.32,0.7,3.245
12/6/2012,3.32,0.7,3.245
12/5/2012,3.34,0.7,3.265
12/4/2012,3.34,0.7,3.265
12/3/2012,3.34,0.7,3.265
11/30/2012,3.34,0.7,3.265
11/29/2012,3.34,0.7,3.265
11/28/2012,3.32,0.8,3.27
11/27/2012,3.32,0.8,3.27
11/26/2012,3.32,0.8,3.27
11/23/2012,3.32,0.8,3.27
11/20/2012,3.31,0.7,3.235
11/19/2012,3.31,0.7,3.235
11/16/2012,3.31,0.7,3.235
11/15/2012,3.31,0.7,3.235
11/14/2012,3.34,0.7,3.265
11/14/2012,3.31,0.7,3.235
11/13/2012,3.34,0.7,3.265
11/9/2012,3.34,0.7,3.265
11/8/2012,3.34,0.7,3.265
11/7/2012,3.4,0.7,3.325
11/6/2012,3.4,0.7,3.325
11/5/2012,3.4,0.7,3.325
11/2/2012,3.4,0.7,3.325
11/1/2012,3.4,0.7,3.325
10/31/2012,3.39,0.7,3.315
10/29/2012,3.39,0.7,3.315
10/26/2012,3.39,0.7,3.315
10/25/2012,3.39,0.7,3.315
10/24/2012,3.41,0.7,3.335
10/23/2012,3.41,0.7,3.335
10/22/2012,3.41,0.7,3.335
10/19/2012,3.41,0.7,3.335
10/18/2012,3.41,0.7,3.335
10/17/2012,3.37,0.7,3.295
10/16/2012,3.37,0.7,3.295
10/15/2012,3.37,0.7,3.295
10/12/2012,3.37,0.7,3.295
10/11/2012,3.37,0.7,3.295
10/10/2012,3.39,0.7,3.315
10/9/2012,3.39,0.7,3.315
10/5/2012,3.39,0.7,3.315
10/4/2012,3.39,0.7,3.315
10/3/2012,3.36,0.6,3.26
10/2/2012,3.36,0.6,3.26
10/1/2012,3.36,0.6,3.26
9/28/2012,3.36,0.6,3.26
9/27/2012,3.36,0.6,3.26
9/26/2012,3.4,0.6,3.3
9/25/2012,3.4,0.6,3.3
9/24/2012,3.4,0.6,3.3
9/21/2012,3.4,0.6,3.3
9/20/2012,3.4,0.6,3.3
9/19/2012,3.49,0.6,3.39
9/18/2012,3.49,0.6,3.39
9/17/2012,3.49,0.6,3.39
9/14/2012,3.49,0.6,3.39
9/13/2012,3.49,0.6,3.39
9/12/2012,3.55,0.6,3.45
9/11/2012,3.55,0.6,3.45
9/10/2012,3.55,0.6,3.45
9/7/2012,3.55,0.6,3.45
9/6/2012,3.55,0.6,3.45
9/5/2012,3.55,0.7,3.475
9/4/2012,3.55,0.7,3.475
8/31/2012,3.55,0.7,3.475
8/30/2012,3.55,0.7,3.475
8/29/2012,3.59,0.6,3.49
8/28/2012,3.59,0.6,3.49
8/27/2012,3.59,0.6,3.49
8/24/2012,3.59,0.6,3.49
8/23/2012,3.59,0.6,3.49
8/22/2012,3.66,0.7,3.585
8/21/2012,3.66,0.7,3.585
8/20/2012,3.66,0.7,3.585
8/17/2012,3.66,0.7,3.585
8/16/2012,3.66,0.7,3.585
8/15/2012,3.62,0.6,3.52
8/14/2012,3.62,0.6,3.52
8/13/2012,3.62,0.6,3.52
8/10/2012,3.62,0.6,3.52
8/9/2012,3.62,0.6,3.52
8/8/2012,3.59,0.6,3.49
8/7/2012,3.59,0.6,3.49
8/6/2012,3.59,0.6,3.49
8/3/2012,3.59,0.6,3.49
8/2/2012,3.59,0.6,3.49
8/1/2012,3.55,0.7,3.475
7/31/2012,3.55,0.7,3.475
7/30/2012,3.55,0.7,3.475
7/27/2012,3.55,0.7,3.475
7/26/2012,3.55,0.7,3.475
7/25/2012,3.49,0.7,3.415
7/24/2012,3.49,0.7,3.415
7/23/2012,3.49,0.7,3.415
7/20/2012,3.49,0.7,3.415
7/19/2012,3.49,0.7,3.415
7/18/2012,3.53,0.7,3.455
7/17/2012,3.53,0.7,3.455
7/16/2012,3.53,0.7,3.455
7/13/2012,3.53,0.7,3.455
7/12/2012,3.53,0.7,3.455
7/11/2012,3.56,0.7,3.485
7/10/2012,3.56,0.7,3.485
7/9/2012,3.56,0.7,3.485
7/6/2012,3.56,0.7,3.485
7/5/2012,3.56,0.7,3.485
7/3/2012,3.62,0.8,3.57
7/2/2012,3.62,0.8,3.57
6/29/2012,3.62,0.8,3.57
6/28/2012,3.62,0.8,3.57
6/27/2012,3.66,0.7,3.585
6/26/2012,3.66,0.7,3.585
6/25/2012,3.66,0.7,3.585
6/22/2012,3.66,0.7,3.585
6/21/2012,3.66,0.7,3.585
6/20/2012,3.66,0.7,3.585
6/19/2012,3.66,0.7,3.585
6/18/2012,3.66,0.7,3.585
6/15/2012,3.66,0.7,3.585
6/14/2012,3.66,0.7,3.585
6/13/2012,3.71,0.7,3.635
6/12/2012,3.71,0.7,3.635
6/11/2012,3.71,0.7,3.635
6/8/2012,3.71,0.7,3.635
6/7/2012,3.71,0.7,3.635
6/6/2012,3.67,0.7,3.595
6/5/2012,3.67,0.7,3.595
6/4/2012,3.67,0.7,3.595
6/1/2012,3.67,0.7,3.595
5/31/2012,3.67,0.7,3.595
5/30/2012,3.75,0.8,3.7
5/29/2012,3.75,0.8,3.7
5/25/2012,3.75,0.8,3.7
5/24/2012,3.75,0.8,3.7
5/23/2012,3.78,0.8,3.73
5/22/2012,3.78,0.8,3.73
