yyyymm01, Day Count, Normalized Month
20350501, 22, 1.0521
20350601, 21, 1.0043
20350701, 21, 1.0043
20350801, 23, 1.1000
20350901, 19, 0.9087
20351001, 22, 1.0521
20351101, 20, 0.9565
20351201, 20, 0.9565
20360101, 21, 1.0043
20360201, 20, 0.9565
20360301, 21, 1.0043
20360401, 22, 1.0521
20360501, 21, 1.0043
20360601, 21, 1.0043
20360701, 22, 1.0521
20360801, 21, 1.0043
20360901, 21, 1.0043
20361001, 22, 1.0521
20361101, 18, 0.8608
20361201, 22, 1.0521
20370101, 20, 0.9565
20370201, 19, 0.9087
20370301, 22, 1.0521
20370401, 22, 1.0521
20370501, 20, 0.9565
20370601, 22, 1.0521
20370701, 22, 1.0521
20370801, 21, 1.0043
20370901, 21, 1.0043
20371001, 21, 1.0043
20371101, 19, 0.9087
20371201, 22, 1.0521
20380101, 19, 0.9087
20380201, 19, 0.9087
20380301, 23, 1.1000
20380401, 22, 1.0521
20380501, 20, 0.9565
20380601, 22, 1.0521
20380701, 21, 1.0043
20380801, 22, 1.0521
20380901, 21, 1.0043
20381001, 20, 0.9565
20381101, 20, 0.9565
20381201, 21, 1.0043
20390101, 20, 0.9565
20390201, 19, 0.9087
20390301, 23, 1.1000
20390401, 21, 1.0043
20390501, 21, 1.0043
20390601, 22, 1.0521
20390701, 20, 0.9565
20390801, 23, 1.1000
20390901, 21, 1.0043
20391001, 20, 0.9565
20391101, 20, 0.9565
20391201, 21, 1.0043
20400101, 20, 0.9565
20400201, 20, 0.9565
20400301, 22, 1.0521
20400401, 21, 1.0043
20400501, 22, 1.0521
20400601, 21, 1.0043
20400701, 21, 1.0043
20400801, 23, 1.1000
20400901, 19, 0.9087
20401001, 22, 1.0521
20401101, 20, 0.9565
20401201, 20, 0.9565
20410101, 21, 1.0043
20410201, 19, 0.9087
20410301, 21, 1.0043
20410401, 22, 1.0521
20410501, 22, 1.0521
20410601, 20, 0.9565
20410701, 22, 1.0521
20410801, 22, 1.0521
20410901, 20, 0.9565
20411001, 22, 1.0521
20411101, 19, 0.9087
20411201, 21, 1.0043
20420101, 21, 1.0043
20420201, 19, 0.9087
20420301, 21, 1.0043
20420401, 22, 1.0521
20420501, 21, 1.0043
20420601, 21, 1.0043
20420701, 22, 1.0521
20420801, 21, 1.0043
20420901, 21, 1.0043
20421001, 22, 1.0521
20421101, 18, 0.8608
20421201, 22, 1.0521
20430101, 20, 0.9565
20430201, 19, 0.9087
20430301, 22, 1.0521
20430401, 22, 1.0521
20430501, 20, 0.9565
20430601, 22, 1.0521
20430701, 22, 1.0521
20430801, 21, 1.0043
20430901, 21, 1.0043
20431001, 21, 1.0043
20431101, 19, 0.9087
