marketTicker,lockinBucket,cltvBucket,walaBucket,monthBucket,bal,incentive,cltv,FICO,waoltv,wala,cpr,smm,smmFactor1,constTurnOverSMM,smmFactor2,smm.model.wala,smm.flatten.wala,smmFactor3,smm.model.lockin,smmFactor4,smmFactor4,seasonalitySMMFunction,smmFactor1,constTurnOverSMM,smmFactor2,seasoningSMMFunction,smmFactor3,incentiveSMMFunction,percent diff,diff
FNCL,1-225,4-CLTV 90-100,I-age-45,Sep,531385.37,-340.5,97,671,74,41,0.233861,-0.00650297,-0.006313563,0.004636779,-1.361626895,1.760281422,1.368957638,-0.994645019,-0.127344485,7.810664276,7.119806555,1.03,-0.006390351,0.00463227,-1.379529168,1.370246782,-1.006774244,-0.141404719,10%,0.690857721
FNCL,1-225,5-CLTV 100+,I-age-45,Sep,1335549.88,-340.5,112.8,726.7,89.2,42.8,0.032089,-0.005812395,-0.005643102,0.004636779,-1.217030644,1.804305348,1.368957638,-0.889019945,-0.127344485,6.981220631,6.357669839,1.03,-0.005706299,0.00463227,-1.231858045,1.370246782,-0.899004516,-0.141404719,10%,0.623550792
FNCL,1-225,4-CLTV 90-100,J-age-50,Sep,1196638.4,-340.5,97,707,85,49,0.044335,-0.00560103,-0.005437893,0.004636779,-1.172773822,1.955943314,1.368957638,-0.856691098,-0.127344485,6.727351396,6.123387011,1.03,-0.005496019,0.00463227,-1.186463554,1.370246782,-0.865875818,-0.141404719,10%,0.603964385
FNCL,1-225,5-CLTV 100+,G-age-35,Sep,4038900.66,-340.5,127.4,728.28,87.3,32.4,0.003612,-0.004585887,-0.004452318,0.004636779,-0.96021776,1.549944888,1.368957638,-0.701422552,-0.127344485,5.50807169,5.020600887,1.03,-0.004506218,0.00463227,-0.972788419,1.370246782,-0.709936657,-0.141404719,10%,0.487470803
FNCL,1-225,5-CLTV 100+,H-age-40,Sep,774641.89,-340.5,111,731,78,37,0.003919,-0.004164897,-0.00404359,0.004636779,-0.872068616,1.662450476,1.368957638,-0.637031119,-0.127344485,5.002424094,4.557127335,1.03,-0.00409023,0.00463227,-0.88298608,1.370246782,-0.644399309,-0.141404719,10%,0.44529676
FNCL,1-225,5-CLTV 100+,E-age-25,Sep,8308373.14,-340.5,128.7,719.53,89.4,21.6,0.004948,-0.002992211,-0.002905059,0.004636779,-0.626525235,1.280370877,1.280370877,-0.489331057,-0.127344485,3.842577536,3.496076367,1.03,-0.002936163,0.00463227,-0.63384972,1.282157833,-0.494361696,-0.141404719,10%,0.34650117
FNCL,1-225,3-CLTV 80-90,D-age-20,Sep,1352484.75,-340.5,89.6,679.23,63.6,15.3,0.000399,-0.001216092,-0.001180672,0.004636779,-0.254631824,1.040385761,1.040385761,-0.24474751,-0.127344485,1.921932544,1.741322966,1.03,-0.001190516,0.00463227,-0.257004958,1.043754285,-0.246231284,-0.141404719,10%,0.180609578
FNCL,1-225,2-CLTV 70-80,F-age-30,Sep,1338199.57,-340,76,676.1,87.7,28.6,0.102797,-0.001324292,-0.00128572,0.004636779,-0.277287407,1.45700549,1.368957638,-0.20255368,-0.126275818,1.604057558,1.455311593,1.03,-0.001295873,0.00463227,-0.279749024,1.370246782,-0.204159592,-0.140285828,10%,0.148745965
FNCL,1-225,4-CLTV 90-100,E-age-25,Jul,1630493.08,-339.1,91.8,741.81,85.7,20.3,0.004673,-0.001171453,-0.000992757,0.004636779,-0.214104801,1.239618583,1.239618583,-0.172718289,-0.124352217,1.388944191,1.255866825,1.18,-0.000998758,0.00463227,-0.215608826,1.241621575,-0.173650998,-0.138271825,11%,0.133077366
FNCL,1-225,3-CLTV 80-90,C-age-15,Sep,2424948.78,-338.8,87.6,728.32,85.2,10.2,0.003038,-0.000492423,-0.00047808,0.004636779,-0.103106128,0.812192618,0.812192618,-0.126947877,-0.123711017,1.026164688,0.921644788,1.03,-0.000480475,0.00463227,-0.10372342,0.817886944,-0.126818775,-0.137600491,11%,0.1045199
FNCL,1-225,2-CLTV 70-80,E-age-25,Sep,231291.32,-337,77,636,97,24,0.000207,-0.001458911,-0.001416418,0.004636779,-0.305474582,1.344365324,1.344365324,-0.227225871,-0.119863815,1.895700305,1.71292779,1.03,-0.001426359,0.00463227,-0.307918009,1.34579537,-0.228800021,-0.133572485,11%,0.182772515
FNCL,1-225,1-CLTV <= 70,G-age-35,Sep,302572.11,-337,65.3,642,97,31,0,-0.001122762,-0.00109006,0.004636779,-0.235089936,1.515704057,1.368957638,-0.171729153,-0.119863815,1.432702214,1.293783812,1.03,-0.001096911,0.00463227,-0.236797716,1.370246782,-0.172813919,-0.133572485,11%,0.138918401
FNCL,1-225,3-CLTV 80-90,E-age-25,Sep,568131.31,-337,81.5,760,97,20,0.003337,-0.000914878,-0.000888231,0.004636779,-0.19156203,1.229338461,1.229338461,-0.155825296,-0.119863815,1.300019491,1.170385987,1.03,-0.000891738,0.00463227,-0.192505592,1.231394564,-0.156331364,-0.133572485,11%,0.129633504
FNCL,1-225,1-CLTV <= 70,F-age-30,Sep,1258446.91,-337,66.4,707,85,25,0.002574,-0.000917679,-0.000890951,0.004636779,-0.192148596,1.368957638,1.368957638,-0.140361243,-0.119863815,1.171005971,1.054035605,1.03,-0.000893645,0.00463227,-0.192917257,1.370246782,-0.140790155,-0.133572485,11%,0.116970366
FNCL,1-225,3-CLTV 80-90,B-age-10,Jun,5807138.97,-333.8,87.8,710.56,88.5,6,0.018445,-0.00031797,-0.000254376,0.004636779,-0.054860557,0.499637972,0.499637972,-0.109800615,-0.113024346,0.971477556,0.864370537,1.25,-0.000255356,0.00463227,-0.055125456,0.504504871,-0.10926645,-0.126411585,12%,0.107107019
FNCL,1-225,4-CLTV 90-100,K-age-60,Aug,288531.74,-333,93.6,642,97,54,0,-0.008607705,-0.006941698,0.004636779,-1.497094755,2.078231997,1.368957638,-1.09360196,-0.111314479,9.824435907,8.884461958,1.24,-0.007027749,0.00463227,-1.517128649,1.370246782,-1.107193733,-0.12462136,11%,0.93997395
FNCL,1-225,4-CLTV 90-100,I-age-45,Aug,532591.24,-333,95.1,671,74,40,0.231151,-0.005807736,-0.004683658,0.004636779,-1.010110219,1.735823686,1.368957638,-0.737868135,-0.111314479,6.628680694,5.992972359,1.24,-0.004740536,0.00463227,-1.023372052,1.370246782,-0.746852366,-0.12462136,11%,0.635708335
FNCL,1-225,4-CLTV 90-100,J-age-50,Aug,1199234.31,-333,95.1,707,85,48,0.042098,-0.005192612,-0.00418759,0.004636779,-0.903124792,1.931485578,1.368957638,-0.659717122,-0.111314479,5.926606588,5.348763875,1.24,-0.004230956,0.00463227,-0.913365711,1.370246782,-0.666570229,-0.12462136,11%,0.577842713
