asOfDate,RealCoupon,ModelCoupon,RealMortgageRate,RealServiceSpread,Weekday,Weight,Counter,accumulated Weighted CC,accumulatedWeight,WA CC,Servicing Spread,,,
2/13/2007,5.874,5.877115695,6.15,0.276,2,0.7,4,4.405105,0.75,0,0,,,
2/14/2007,5.78171,5.801774755,6.15,0.36829,3,0.25,5,5.8505325,1,5.8505325,0,,,
2/15/2007,5.76575,5.788060457,6.095,0.32925,4,0,1,0,0,0,0.2994675,,,
2/16/2007,5.76704,5.797784259,6.095,0.32796,5,0,2,0,0,0,0,,,
2/20/2007,5.75967,5.795649015,6.095,0.33533,2,0.7,3,4.031769,0.7,0,0,,,
2/21/2007,5.76648,5.795313596,6.095,0.32852,3,0.25,4,5.473389,0.95,5.761462105,0,,,
2/22/2007,5.79825,5.823977881,6.03,0.23175,4,0,1,0,0,0,0.333537895,,,
2/23/2007,5.76857,5.795688486,6.03,0.26143,5,0,2,0,0,0,0,,,
2/26/2007,5.73856,5.770948395,6.03,0.29144,1,0.05,3,0.286928,0.05,0,0,,,
2/27/2007,5.666,5.697169758,6.03,0.364,2,0.7,4,4.253128,0.75,0,0,,,
2/28/2007,5.69793,5.723067933,6.03,0.33207,3,0.25,5,5.6776105,1,5.6776105,0,,,
3/1/2007,5.70088,5.744198637,6.015,0.31412,4,0,1,0,0,0,0.3523895,,,
3/2/2007,5.6857,5.741289797,6.015,0.3293,5,0,2,0,0,0,0,,,
3/5/2007,5.69602,5.735663078,6.015,0.31898,1,0.05,3,0.284801,0.05,0,0,,,
3/6/2007,5.68031,5.711950025,6.015,0.33469,2,0.7,4,4.261018,0.75,0,0,,,
3/7/2007,5.64065,5.684498408,6.015,0.37435,3,0.25,5,5.6711805,1,5.6711805,0,,,
3/8/2007,5.63625,5.679090475,5.99,0.35375,4,0,1,0,0,0,0.3438195,,,
3/9/2007,5.70828,5.750785785,5.99,0.28172,5,0,2,0,0,0,0,,,
3/12/2007,5.6818,5.718241659,5.99,0.3082,1,0.05,3,0.28409,0.05,0,0,,,
3/13/2007,5.62499,5.670267912,5.99,0.36501,2,0.7,4,4.221583,0.75,0,0,,,
3/14/2007,5.64978,5.694221101,5.99,0.34022,3,0.25,5,5.634028,1,5.634028,0,,,
3/15/2007,5.66107,5.695003814,6.01,0.34893,4,0,1,0,0,0,0.355972,,,
3/16/2007,5.67116,5.699896652,6.01,0.33884,5,0,2,0,0,0,0,,,
3/19/2007,5.68532,5.713766264,6.01,0.32468,1,0.05,3,0.284266,0.05,0,0,,,
3/20/2007,5.65758,5.687944498,6.01,0.35242,2,0.7,4,4.244572,0.75,0,0,,,
3/21/2007,5.61128,5.636295367,6.01,0.39872,3,0.25,5,5.647392,1,0,0,,,
3/22/2007,5.67216,5.708887006,6.01,0.33784,4,0,6,0,0,0,0,,,
3/23/2007,5.70792,5.733549054,6.01,0.30208,5,0,7,0,0,0,0,,,
3/26/2007,5.69346,5.722029189,6.01,0.31654,1,0.05,8,0.284673,0.05,0,0,,,
3/27/2007,5.72023,5.739847465,6.01,0.28977,2,0.7,9,4.004161,0.7,0,0,,,
3/28/2007,5.73479,5.752672191,6.01,0.27521,3,0.25,10,1.4336975,0.25,5.73479,0,,,
3/29/2007,5.74611,5.754500779,6.02,0.27389,4,0,1,0,0,0,0.27521,,,
3/30/2007,5.76151,5.765054119,6.02,0.25849,5,0,2,0,0,0,0,,,
4/2/2007,5.75504,5.760671516,6.02,0.26496,1,0.05,3,0.287752,0.05,0,0,,,
4/3/2007,5.76023,5.785797216,6.02,0.25977,2,0.7,4,4.319913,0.75,0,0,,,
4/4/2007,5.75562,5.780088197,6.02,0.26438,3,0.25,5,5.758818,1,5.758818,0,,,
4/5/2007,5.76985,5.788099471,6.07,0.30015,4,0,1,0,0,0,0.261182,,,
4/9/2007,5.83389,5.850887069,6.07,0.23611,1,0.05,2,0.2916945,0.05,0,0,,,
4/10/2007,5.816,5.830848649,6.07,0.254,2,0.7,3,4.3628945,0.75,0,0,,,
4/11/2007,5.82867,5.836459005,6.07,0.24133,3,0.25,4,5.820062,1,5.820062,0,,,
4/12/2007,5.83404,5.828314323,6.045,0.21096,4,0,1,0,0,0,0.249938,,,
4/13/2007,5.85428,5.841735198,6.045,0.19072,5,0,2,0,0,0,0,,,
4/16/2007,5.83698,5.820420532,6.045,0.20802,1,0.05,3,0.291849,0.05,0,0,,,
4/17/2007,5.79239,5.778122404,6.045,0.25261,2,0.7,4,4.346522,0.75,0,0,,,
4/18/2007,5.76155,5.751587826,6.045,0.28345,3,0.25,5,5.7869095,1,5.7869095,0,,,
4/19/2007,5.767,5.769185062,6.035,0.268,4,0,1,0,0,0,0.2580905,,,
4/20/2007,5.77947,5.783214606,6.035,0.25553,5,0,2,0,0,0,0,,,
4/23/2007,5.76361,5.759702803,6.035,0.27139,1,0.05,3,0.2881805,0.05,0,0,,,
4/24/2007,5.73675,5.729521041,6.035,0.29825,2,0.7,4,4.3039055,0.75,0,0,,,
4/25/2007,5.76223,5.755713806,6.035,0.27277,3,0.25,5,5.744463,1,0,0,,,
4/26/2007,5.80346,5.797250002,6.035,0.23154,4,0,6,0,0,0,0,,,
4/27/2007,5.82011,5.811463714,6.035,0.21489,5,0,7,0,0,0,0,,,
4/30/2007,5.769,5.753982774,6.035,0.266,1,0.05,8,0.28845,0.05,0,0,,,
5/1/2007,5.78013,5.769992186,6.035,0.25487,2,0.7,9,4.046091,0.7,0,0,,,
5/2/2007,5.77791,5.77118348,6.035,0.25709,3,0.25,10,1.4444775,0.25,5.77791,0,,,
5/3/2007,5.80799,5.795204255,6.025,0.21701,4,0,1,0,0,0,0.25709,,,
5/4/2007,5.77033,5.764765273,6.025,0.25467,5,0,2,0,0,0,0,,,
5/7/2007,5.76324,5.76831812,6.025,0.26176,1,0.05,3,0.288162,0.05,0,0,,,
5/8/2007,5.76477,5.771123979,6.025,0.26023,2,0.7,4,4.323501,0.75,0,0,,,
5/9/2007,5.79797,5.80281856,6.025,0.22703,3,0.25,5,5.7729935,1,5.7729935,0,,,
5/10/2007,5.78653,5.781635671,6.06,0.27347,4,0,1,0,0,0,0.2520065,,,
5/11/2007,5.80676,5.802119598,6.06,0.25324,5,0,2,0,0,0,0,,,
5/14/2007,5.83042,5.811407184,6.06,0.22958,1,0.05,3,0.291521,0.05,0,0,,,
5/15/2007,5.84727,5.831788937,6.06,0.21273,2,0.7,4,4.38461,0.75,0,0,,,
5/16/2007,5.84391,5.828623134,6.06,0.21609,3,0.25,5,5.8455875,1,5.8455875,0,,,
5/17/2007,5.8856,5.864274647,6.22,0.3344,4,0,1,0,0,0,0.2144125,,,
5/18/2007,5.92507,5.927757677,6.22,0.29493,5,0,2,0,0,0,0,,,
5/21/2007,5.91467,5.897837261,6.22,0.30533,1,0.05,3,0.2957335,0.05,0,0,,,
5/22/2007,5.94901,5.923769781,6.22,0.27099,2,0.7,4,4.4600405,0.75,0,0,,,
5/23/2007,5.97429,5.957592468,6.22,0.24571,3,0.25,5,5.953613,1,5.953613,0,,,
5/24/2007,5.98156,5.957216119,6.27,0.28844,4,0,1,0,0,0,0.266387,,,
5/25/2007,5.96443,5.961567168,6.27,0.30557,5,0,2,0,0,0,0,,,
5/29/2007,5.99219,5.986748492,6.27,0.27781,2,0.7,3,4.194533,0.7,0,0,,,
5/30/2007,5.99207,5.987458609,6.27,0.27793,3,0.25,4,5.6925505,0.95,5.992158421,0,,,
5/31/2007,6.00727,6.010026554,6.38,0.37273,4,0,1,0,0,0,0.277841579,,,
6/1/2007,6.07372,6.070103242,6.38,0.30628,5,0,2,0,0,0,0,,,
6/4/2007,6.06,6.04655522,6.38,0.32,1,0.05,3,0.303,0.05,0,0,,,
6/5/2007,6.11896,6.083332632,6.38,0.26104,2,0.7,4,4.586272,0.75,0,0,,,
6/6/2007,6.12429,6.081565275,6.38,0.25571,3,0.25,5,6.1173445,1,6.1173445,0,,,
6/7/2007,6.26442,6.232643466,6.59,0.32558,4,0,1,0,0,0,0.2626555,,,
6/8/2007,6.28132,6.267316954,6.59,0.30868,5,0,2,0,0,0,0,,,
6/11/2007,6.28557,6.272922167,6.59,0.30443,1,0.05,3,0.3142785,0.05,0,0,,,
6/12/2007,6.38983,6.42469437,6.59,0.20017,2,0.7,4,4.7871595,0.75,0,0,,,
6/13/2007,6.36267,6.363345891,6.59,0.22733,3,0.25,5,6.377827,1,6.377827,0,,,
6/14/2007,6.35536,6.36613089,6.565,0.20964,4,0,1,0,0,0,0.212173,,,
6/15/2007,6.29718,6.298198167,6.565,0.26782,5,0,2,0,0,0,0,,,
6/18/2007,6.27743,6.254073836,6.565,0.28757,1,0.05,3,0.3138715,0.05,0,0,,,
6/19/2007,6.22539,6.207862981,6.565,0.33961,2,0.7,4,4.6716445,0.75,0,0,,,
6/20/2007,6.28873,6.26766757,6.565,0.27627,3,0.25,5,6.243827,1,6.243827,0,,,
6/21/2007,6.32487,6.322064434,6.52,0.19513,4,0,1,0,0,0,0.321173,,,
6/22/2007,6.30384,6.30328896,6.52,0.21616,5,0,2,0,0,0,0,,,
6/25/2007,6.2647,6.257119284,6.52,0.2553,1,0.05,3,0.313235,0.05,0,0,,,
6/26/2007,6.28234,6.275021899,6.52,0.23766,2,0.7,4,4.710873,0.75,0,0,,,
6/27/2007,6.26639,6.257738638,6.52,0.25361,3,0.25,5,6.2774705,1,6.2774705,0,,,
6/28/2007,6.2982,6.297863604,6.48,0.1818,4,0,1,0,0,0,0.2425295,,,
6/29/2007,6.25387,6.246416727,6.48,0.22613,5,0,2,0,0,0,0,,,
7/2/2007,6.22665,6.219420311,6.48,0.25335,1,0.05,3,0.3113325,0.05,0,0,,,
7/3/2007,6.25963,6.257673621,6.48,0.22037,2,0.7,4,4.6930735,0.75,6.257431333,0,,,
7/5/2007,6.3398,6.343769768,6.58,0.2402,4,0,1,0,0,0,0.222568667,,,
7/6/2007,6.3727,6.398407154,6.58,0.2073,5,0,2,0,0,0,0,,,
7/9/2007,6.35041,6.360498975,6.58,0.22959,1,0.05,3,0.3175205,0.05,0,0,,,
7/10/2007,6.28291,6.302625414,6.58,0.29709,2,0.7,4,4.7155575,0.75,0,0,,,
7/11/2007,6.3107,6.335315355,6.58,0.2693,3,0.25,5,6.2932325,1,0,0,,,
7/12/2007,6.33541,6.353372306,6.58,0.24459,4,0,6,0,0,0,0,,,
7/13/2007,6.33145,6.344955152,6.58,0.24855,5,0,7,0,0,0,0,,,
7/16/2007,6.30073,6.28704773,6.58,0.27927,1,0.05,8,0.3150365,0.05,0,0,,,
7/17/2007,6.33529,6.322895498,6.58,0.24471,2,0.7,9,4.434703,0.7,0,0,,,
7/18/2007,6.28572,6.267541411,6.58,0.29428,3,0.25,10,1.57143,0.25,6.28572,0,,,
7/19/2007,6.30406,6.272883764,6.54,0.23594,4,0,1,0,0,0,0.29428,,,
7/20/2007,6.265,6.249407098,6.54,0.275,5,0,2,0,0,0,0,,,
7/23/2007,6.28112,6.257388135,6.54,0.25888,1,0.05,3,0.314056,0.05,0,0,,,
7/24/2007,6.28258,6.275468665,6.54,0.25742,2,0.7,4,4.711862,0.75,0,0,,,
7/25/2007,6.27441,6.259968882,6.54,0.26559,3,0.25,5,6.2804645,1,6.2804645,0,,,
7/26/2007,6.2137,6.238386794,6.505,0.2913,4,0,1,0,0,0,0.2595355,,,
7/27/2007,6.21896,6.2823863,6.505,0.28604,5,0,2,0,0,0,0,,,
7/30/2007,6.24717,6.27644317,6.505,0.25783,1,0.05,3,0.3123585,0.05,0,0,,,
7/31/2007,6.22355,6.231794512,6.505,0.28145,2,0.7,4,4.6688435,0.75,0,0,,,
8/1/2007,6.20234,6.205785719,6.505,0.30266,3,0.25,5,6.2194285,1,6.2194285,0,,,
8/2/2007,6.17056,6.176737896,6.44,0.26944,4,0,1,0,0,0,0.2855715,,,
8/3/2007,6.10397,6.134895271,6.44,0.33603,5,0,2,0,0,0,0,,,
8/6/2007,6.12133,6.162737467,6.44,0.31867,1,0.05,3,0.3060665,0.05,0,0,,,
8/7/2007,6.10728,6.134701097,6.44,0.33272,2,0.7,4,4.5811625,0.75,0,0,,,
8/8/2007,6.16603,6.196418432,6.44,0.27397,3,0.25,5,6.12267,1,6.12267,0,,,
8/9/2007,6.12613,6.181948332,6.47,0.34387,4,0,1,0,0,0,0.31733,,,
8/10/2007,6.15063,6.192128826,6.47,0.31937,5,0,2,0,0,0,0,,,
8/13/2007,6.16927,6.188305829,6.47,0.30073,1,0.05,3,0.3084635,0.05,0,0,,,
8/14/2007,6.1677,6.167199762,6.47,0.3023,2,0.7,4,4.6258535,0.75,0,0,,,
8/15/2007,6.20664,6.150418938,6.47,0.26336,3,0.25,5,6.1775135,1,6.1775135,0,,,
8/16/2007,6.14169,6.121772525,6.37,0.22831,4,0,1,0,0,0,0.2924865,,,
8/17/2007,6.11128,6.141197926,6.37,0.25872,5,0,2,0,0,0,0,,,
8/20/2007,6.07633,6.101081891,6.37,0.29367,1,0.05,3,0.3038165,0.05,0,0,,,
8/21/2007,6.01298,6.061793014,6.37,0.35702,2,0.7,4,4.5129025,0.75,0,0,,,
8/22/2007,6.02985,6.066396123,6.37,0.34015,3,0.25,5,6.020365,1,6.020365,0,,,
8/23/2007,6.02021,6.048539053,6.325,0.30479,4,0,1,0,0,0,0.349635,,,
8/24/2007,5.98703,6.004429174,6.325,0.33797,5,0,2,0,0,0,0,,,
8/27/2007,5.97041,5.964407605,6.325,0.35459,1,0.05,3,0.2985205,0.05,0,0,,,
8/28/2007,5.9438,5.945613064,6.325,0.3812,2,0.7,4,4.4591805,0.75,0,0,,,
8/29/2007,5.97927,5.97389139,6.325,0.34573,3,0.25,5,5.953998,1,5.953998,0,,,
8/30/2007,5.97114,5.928724304,6.335,0.36386,4,0,1,0,0,0,0.371002,,,
8/31/2007,5.99344,5.961913919,6.335,0.34156,5,0,2,0,0,0,0,,,
9/4/2007,6.01567,5.969083785,6.335,0.31933,2,0.7,3,4.210969,0.7,0,0,,,
9/5/2007,5.92707,5.894786483,6.335,0.40793,3,0.25,4,5.6927365,0.95,5.992354211,0,,,
9/6/2007,5.9335,5.895528546,6.185,0.2515,4,0,1,0,0,0,0.342645789,,,
9/7/2007,5.76133,5.769511256,6.185,0.42367,5,0,2,0,0,0,0,,,
9/10/2007,5.73113,5.75306424,6.185,0.45387,1,0.05,3,0.2865565,0.05,0,0,,,
9/11/2007,5.80365,5.817800079,6.185,0.38135,2,0.7,4,4.3491115,0.75,0,0,,,
9/12/2007,5.87022,5.866961551,6.185,0.31478,3,0.25,5,5.8166665,1,5.8166665,0,,,
9/13/2007,5.9126,5.916990166,6.215,0.3024,4,0,1,0,0,0,0.3683335,,,
9/14/2007,5.89106,5.888335037,6.215,0.32394,5,0,2,0,0,0,0,,,
9/17/2007,5.894,5.908327697,6.215,0.321,1,0.05,3,0.2947,0.05,0,0,,,
9/18/2007,5.79823,5.832183109,6.215,0.41677,2,0.7,4,4.353461,0.75,0,0,,,
9/19/2007,5.795,5.822789731,6.215,0.42,3,0.25,5,5.802211,1,5.802211,0,,,
9/20/2007,5.96554,5.99883568,6.295,0.32946,4,0,1,0,0,0,0.412789,,,
9/21/2007,5.95164,5.973657307,6.295,0.34336,5,0,2,0,0,0,0,,,
9/24/2007,5.97496,5.976328653,6.295,0.32004,1,0.05,3,0.298748,0.05,0,0,,,
9/25/2007,5.97037,5.989618077,6.295,0.32463,2,0.7,4,4.478007,0.75,0,0,,,
9/26/2007,5.98048,5.973365247,6.295,0.31452,3,0.25,5,5.973127,1,5.973127,0,,,
9/27/2007,5.92373,5.913150711,6.245,0.32127,4,0,1,0,0,0,0.321873,,,
9/28/2007,5.95066,5.9245029,6.245,0.29434,5,0,2,0,0,0,0,,,
10/1/2007,5.93729,5.925276487,6.245,0.30771,1,0.05,3,0.2968645,0.05,0,0,,,
10/2/2007,5.91811,5.87967093,6.245,0.32689,2,0.7,4,4.4395415,0.75,0,0,,,
10/3/2007,5.90551,5.878196131,6.245,0.33949,3,0.25,5,5.915919,1,5.915919,0,,,
10/4/2007,5.88909,5.869363086,6.25,0.36091,4,0,1,0,0,0,0.329081,,,
10/5/2007,5.98487,5.980795716,6.25,0.26513,5,0,2,0,0,0,0,,,
10/9/2007,5.98408,5.978511127,6.25,0.26592,2,0.7,3,4.188856,0.7,0,0,,,
10/10/2007,5.98497,5.946793366,6.25,0.26503,3,0.25,4,5.6850985,0.95,5.984314211,0,,,
10/11/2007,5.9681,5.92033834,6.275,0.3069,4,0,1,0,0,0,0.265685789,,,
10/12/2007,5.98161,5.94345108,6.275,0.29339,5,0,2,0,0,0,0,,,
10/15/2007,5.98213,5.927779603,6.275,0.29287,1,0.05,3,0.2991065,0.05,0,0,,,
10/16/2007,5.9741,5.92760552,6.275,0.3009,2,0.7,4,4.4809765,0.75,0,0,,,
10/17/2007,5.90414,5.859327919,6.275,0.37086,3,0.25,5,5.9570115,1,5.9570115,0,,,
10/18/2007,5.85501,5.828019376,6.205,0.34999,4,0,1,0,0,0,0.3179885,,,
10/19/2007,5.78826,5.743246008,6.205,0.41674,5,0,2,0,0,0,0,,,
10/22/2007,5.79053,5.739753056,6.205,0.41447,1,0.05,3,0.2895265,0.05,0,0,,,
10/23/2007,5.77363,5.733468009,6.205,0.43137,2,0.7,4,4.3310675,0.75,0,0,,,
10/24/2007,5.68865,5.67898802,6.205,0.51635,3,0.25,5,5.75323,1,5.75323,0,,,
10/25/2007,5.69814,5.702341722,6.11,0.41186,4,0,1,0,0,0,0.45177,,,
10/26/2007,5.7513,5.727683634,6.11,0.3587,5,0,2,0,0,0,0,,,
10/29/2007,5.74053,5.723768205,6.11,0.36947,1,0.05,3,0.2870265,0.05,0,0,,,
10/30/2007,5.74383,5.707223825,6.11,0.36617,2,0.7,4,4.3077075,0.75,0,0,,,
10/31/2007,5.82636,5.764212357,6.11,0.28364,3,0.25,5,5.7642975,1,5.7642975,0,,,
11/1/2007,5.76173,5.706053616,6.09,0.32827,4,0,1,0,0,0,0.3457025,,,
11/2/2007,5.72404,5.661584126,6.09,0.36596,5,0,2,0,0,0,0,,,
11/5/2007,5.81429,5.716733141,6.09,0.27571,1,0.05,3,0.2907145,0.05,0,0,,,
11/6/2007,5.86598,5.759790677,6.09,0.22402,2,0.7,4,4.3969005,0.75,0,0,,,
11/7/2007,5.87137,5.781272724,6.09,0.21863,3,0.25,5,5.864743,1,0,0,,,
11/8/2007,5.85192,5.774834119,6.09,0.23808,4,0,6,0,0,0,0,,,
11/9/2007,5.81494,5.716208082,6.09,0.27506,5,0,7,0,0,0,0,,,
11/13/2007,5.83079,5.71188665,6.09,0.25921,2,0.7,8,4.081553,0.7,5.83079,0,,,
11/14/2007,5.81237,5.697834793,6.075,0.26263,3,0.25,1,1.4530925,0.25,0,0.25921,,,
11/15/2007,5.74313,5.639112188,6.075,0.33187,4,0,2,1.4530925,0.25,0,0,,,
11/16/2007,5.77368,5.62590134,6.075,0.30132,5,0,3,1.4530925,0.25,0,0,,,
11/19/2007,5.74195,5.61738753,6.075,0.33305,1,0.05,4,1.74019,0.3,0,0,,,
11/20/2007,5.80547,5.640020987,6.075,0.26953,2,0.7,5,5.804019,1,0,0,,,
11/21/2007,5.72955,5.619240007,6.075,0.34545,3,0.25,6,1.4323875,0.25,5.72955,0,,,
11/23/2007,5.66973,5.582865696,5.975,0.30527,5,0,1,0,0,0,0.34545,,,
11/26/2007,5.47701,5.432891406,5.975,0.49799,1,0.05,2,0.2738505,0.05,0,0,,,
11/27/2007,5.62014,5.554047652,5.975,0.35486,2,0.7,3,4.2079485,0.75,0,0,,,
11/28/2007,5.58194,5.569786281,5.975,0.39306,3,0.25,4,5.6034335,1,5.6034335,0,,,
11/29/2007,5.48448,5.496757728,5.81,0.32552,4,0,1,0,0,0,0.3715665,,,
11/30/2007,5.43923,5.458046821,5.81,0.37077,5,0,2,0,0,0,0,,,
12/3/2007,5.39401,5.403635101,5.81,0.41599,1,0.05,3,0.2697005,0.05,0,0,,,
12/4/2007,5.39349,5.412001339,5.81,0.41651,2,0.7,4,4.0451435,0.75,0,0,,,
12/5/2007,5.40073,5.412625264,5.81,0.40927,3,0.25,5,5.395326,1,5.395326,0,,,
12/6/2007,5.49202,5.481370746,5.985,0.49298,4,0,1,0,0,0,0.414674,,,
12/7/2007,5.68009,5.623823403,5.985,0.30491,5,0,2,0,0,0,0,,,
12/10/2007,5.7185,5.650751868,5.985,0.2665,1,0.05,3,0.285925,0.05,0,0,,,
12/11/2007,5.54528,5.542389584,5.985,0.43972,2,0.7,4,4.167621,0.75,0,0,,,
12/12/2007,5.59488,5.549374572,5.985,0.39012,3,0.25,5,5.566341,1,5.566341,0,,,
12/13/2007,5.66802,5.596217805,5.99,0.32198,4,0,1,0,0,0,0.418659,,,
12/14/2007,5.75288,5.664013418,5.99,0.23712,5,0,2,0,0,0,0,,,
12/17/2007,5.73971,5.630734339,5.99,0.25029,1,0.05,3,0.2869855,0.05,0,0,,,
12/18/2007,5.61771,5.532187914,5.99,0.37229,2,0.7,4,4.2193825,0.75,0,0,,,
12/19/2007,5.53357,5.495683625,5.99,0.45643,3,0.25,5,5.602775,1,5.602775,0,,,
12/20/2007,5.52723,5.477000286,6.045,0.51777,4,0,1,0,0,0,0.387225,,,
12/21/2007,5.68464,5.593803306,6.045,0.36036,5,0,2,0,0,0,0,,,
12/24/2007,5.74257,5.639500826,6.045,0.30243,1,0.05,3,0.2871285,0.05,0,0,,,
12/26/2007,5.79908,5.693055207,6.045,0.24592,3,0.25,4,1.7368985,0.3,5.789661667,0,,,
12/27/2007,5.73511,5.634888454,5.945,0.20989,4,0,1,0,0,0,0.255338333,,,
12/28/2007,5.59539,5.538125034,5.945,0.34961,5,0,2,0,0,0,0,,,
12/31/2007,5.5067,5.493149466,5.945,0.4383,1,0.05,3,0.275335,0.05,0,0,,,
1/2/2008,5.39414,5.37250905,5.945,0.55086,3,0.25,4,1.62387,0.3,5.4129,0,,,
1/3/2008,5.3789,5.36722847,5.72,0.3411,4,0,1,0,0,0,0.5321,,,
1/4/2008,5.28617,5.294756046,5.72,0.43383,5,0,2,0,0,0,0,,,
1/7/2008,5.23878,5.24982703,5.72,0.48122,1,0.05,3,0.261939,0.05,0,0,,,
1/8/2008,5.25517,5.215738057,5.72,0.46483,2,0.7,4,3.940558,0.75,0,0,,,
1/9/2008,5.2107,5.193274138,5.72,0.5093,3,0.25,5,5.243233,1,5.243233,0,,,
1/10/2008,5.28583,5.246956026,5.565,0.27917,4,0,1,0,0,0,0.476767,,,
1/11/2008,5.17318,5.143359973,5.565,0.39182,5,0,2,0,0,0,0,,,
1/14/2008,5.13481,5.119774556,5.565,0.43019,1,0.05,3,0.2567405,0.05,0,0,,,
1/15/2008,5.04364,5.046743171,5.565,0.52136,2,0.7,4,3.7872885,0.75,0,0,,,
1/16/2008,5.12728,5.067771727,5.565,0.43772,3,0.25,5,5.0691085,1,5.0691085,0,,,
1/17/2008,5.04624,4.999885496,5.33,0.28376,4,0,1,0,0,0,0.4958915,,,
1/18/2008,5.07507,5.009543061,5.33,0.25493,5,0,2,0,0,0,0,,,
1/22/2008,4.82456,4.851475375,5.33,0.50544,2,0.7,3,3.377192,0.7,0,0,,,
1/23/2008,4.86534,4.842015513,5.33,0.46466,3,0.25,4,4.593527,0.95,4.835291579,0,,,
1/24/2008,5.20552,5.086048118,5.53,0.32448,4,0,1,0,0,0,0.494708421,,,
1/25/2008,5.08433,5.030406265,5.53,0.44567,5,0,2,0,0,0,0,,,
1/28/2008,5.03004,5.011364062,5.53,0.49996,1,0.05,3,0.251502,0.05,0,0,,,
1/29/2008,5.11346,5.062839395,5.53,0.41654,2,0.7,4,3.830924,0.75,0,0,,,
1/30/2008,5.18726,5.100624165,5.53,0.34274,3,0.25,5,5.127739,1,5.127739,0,,,
1/31/2008,5.12147,5.042313769,5.52,0.39853,4,0,1,0,0,0,0.402261,,,
2/1/2008,5.07129,4.996119443,5.52,0.44871,5,0,2,0,0,0,0,,,
2/4/2008,5.14855,5.019988657,5.52,0.37145,1,0.05,3,0.2574275,0.05,0,0,,,
2/5/2008,5.04078,4.966866395,5.52,0.47922,2,0.7,4,3.7859735,0.75,0,0,,,
2/6/2008,5.11977,4.993717634,5.52,0.40023,3,0.25,5,5.065916,1,5.065916,0,,,
2/7/2008,5.26285,5.115616972,5.57,0.30715,4,0,1,0,0,0,0.454084,,,
2/8/2008,5.20211,5.055312739,5.57,0.36789,5,0,2,0,0,0,0,,,
2/11/2008,5.19384,5.056108309,5.57,0.37616,1,0.05,3,0.259692,0.05,0,0,,,
2/12/2008,5.25661,5.11152513,5.57,0.31339,2,0.7,4,3.939319,0.75,0,0,,,
2/13/2008,5.32945,5.133920289,5.57,0.24055,3,0.25,5,5.2716815,1,5.2716815,0,,,
2/14/2008,5.51998,5.321699242,5.94,0.42002,4,0,1,0,0,0,0.2983185,,,
2/15/2008,5.50329,5.299505413,5.94,0.43671,5,0,2,0,0,0,0,,,
2/19/2008,5.73451,5.432000578,5.94,0.20549,2,0.7,3,4.014157,0.7,0,0,,,
2/20/2008,5.76701,5.464146482,5.94,0.17299,3,0.25,4,5.4559095,0.95,5.743062632,0,,,
2/21/2008,5.5927,5.348332621,6.115,0.5223,4,0,1,0,0,0,0.196937368,,,
2/22/2008,5.71944,5.400813807,6.115,0.39556,5,0,2,0,0,0,0,,,
2/25/2008,5.86195,5.496761717,6.115,0.25305,1,0.05,3,0.2930975,0.05,0,0,,,
2/26/2008,5.78509,5.395455753,6.115,0.32991,2,0.7,4,4.3426605,0.75,0,0,,,
2/27/2008,5.69071,5.337469093,6.115,0.42429,3,0.25,5,5.765338,1,5.765338,0,,,
2/28/2008,5.4989,5.220566918,5.905,0.4061,4,0,1,0,0,0,0.349662,,,
2/29/2008,5.35969,5.072838379,5.905,0.54531,5,0,2,0,0,0,0,,,
3/3/2008,5.43774,5.084482329,5.905,0.46726,1,0.05,3,0.271887,0.05,0,0,,,
3/4/2008,5.63182,5.190925037,5.905,0.27318,2,0.7,4,4.214161,0.75,0,0,,,
3/5/2008,5.81134,5.336021278,5.905,0.09366,3,0.25,5,5.666996,1,5.666996,0,,,
3/6/2008,5.94293,5.397341652,6.005,0.06207,4,0,1,0,0,0,0.238004,,,
3/7/2008,5.79413,5.313320785,6.005,0.21087,5,0,2,0,0,0,0,,,
3/10/2008,5.76087,5.232582648,6.005,0.24413,1,0.05,3,0.2880435,0.05,0,0,,,
3/11/2008,5.77938,5.270422585,6.005,0.22562,2,0.7,4,4.3336095,0.75,0,0,,,
3/12/2008,5.50334,5.12069757,6.005,0.50166,3,0.25,5,5.7094445,1,5.7094445,0,,,
3/13/2008,5.5453,5.14813448,5.745,0.1997,4,0,1,0,0,0,0.2955555,,,
3/14/2008,5.47714,5.043959095,5.745,0.26786,5,0,2,0,0,0,0,,,
3/17/2008,5.08274,4.870620439,5.745,0.66226,1,0.05,3,0.254137,0.05,0,0,,,
3/18/2008,5.26363,4.950006177,5.745,0.48137,2,0.7,4,3.938678,0.75,0,0,,,
3/19/2008,5.1225,4.809365783,5.745,0.6225,3,0.25,5,5.219303,1,5.219303,0,,,
3/20/2008,5.06543,4.846703479,5.7,0.63457,4,0,1,0,0,0,0.525697,,,
3/24/2008,5.3473,5.044514576,5.7,0.3527,1,0.05,2,0.267365,0.05,0,0,,,
3/25/2008,5.30409,5.02600693,5.7,0.39591,2,0.7,3,3.980228,0.75,0,0,,,
3/26/2008,5.29599,5.01669714,5.7,0.40401,3,0.25,4,5.3042255,1,5.3042255,0,,,
3/27/2008,5.39164,5.053482307,5.755,0.36336,4,0,1,0,0,0,0.3957745,,,
3/28/2008,5.28215,4.952459268,5.755,0.47285,5,0,2,0,0,0,0,,,
