"","x","y"
"572",151,1.08
"573",152,1.08
"574",153,1.08
"575",154,1.08
"576",155,1.08
"577",156,1.08
"578",157,1.08
"579",158,1.08
"580",159,1.08
"581",160,1.08
"582",161,1.08
"583",162,1.08
"584",163,1.08
"585",164,1.08
"586",165,1.08
"587",166,1.08
"588",167,1.08
"589",168,1.08
"590",169,1.08
"591",170,1.08
"592",171,1.08
"593",172,1.08
"594",173,1.08
"595",174,1.08
"596",175,1.08
"597",176,1.08
"598",177,1.08
"599",178,1.08
"600",179,1.08
"601",180,1.08
"602",181,1.08
"603",182,1.08
"604",183,1.08
"605",184,1.08
"606",185,1.08
"607",186,1.08
"608",187,1.08
"609",188,1.08
"610",189,1.08
"611",190,1.08
"612",191,1.08
"613",192,1.08
"614",193,1.08
"615",194,1.08
"616",195,1.08
"617",196,1.08
"618",197,1.08
"619",198,1.08
"620",199,1.08
"621",200,1.08
"622",201,1.08
"623",202,1.08
"624",203,1.08
"625",204,1.08
"626",205,1.08
"627",206,1.08
"628",207,1.08
"629",208,1.08
"630",209,1.08
"631",210,1.08
"632",211,1.08
"633",212,1.08
"634",213,1.08
"635",214,1.08
"636",215,1.08
"637",216,1.08
"638",217,1.08
"639",218,1.08
"640",219,1.08
"641",220,1.08
"642",221,1.08
"643",222,1.08
"644",223,1.08
"645",224,1.08
"646",225,1.08
"647",226,1.08
"648",227,1.08
"649",228,1.08
"650",229,1.08
"651",230,1.08
"652",231,1.08
"653",232,1.08
"654",233,1.08
"655",234,1.08
"656",235,1.08
"657",236,1.08
"658",237,1.08
"659",238,1.08
"660",239,1.08
"661",240,1.08
"662",241,1.08
"663",242,1.08
"664",243,1.08
"665",244,1.08
"666",245,1.08
"667",246,1.08
"668",247,1.08
"669",248,1.08
"670",249,1.08
"671",250,1.08
"672",251,1.08
"673",252,1.08
"674",253,1.08
"675",254,1.08
"676",255,1.08
"677",256,1.08
"678",257,1.08
"679",258,1.08
"680",259,1.08
"681",260,1.08
"682",261,1.08
"683",262,1.08
"684",263,1.08
"685",264,1.08
"686",265,1.08
"687",266,1.08
"688",267,1.08
"689",268,1.08
"690",269,1.08
"691",270,1.08
