,RealCoupon,FNMA after change,FNMAError,
6/12/2013,3.0173,3.0173,0,0
6/11/2013,2.98862,2.98862,0,0
6/10/2013,3.01875,3.01875,0,0
6/7/2013,2.99312,2.99312,0,0
6/6/2013,2.93639,2.93639,0,0
6/5/2013,2.97372,2.97372,0,0
6/4/2013,2.98974,2.98974,0,0
6/3/2013,2.96032,2.96032,0,0
5/31/2013,2.95731,2.95731,0,0
5/30/2013,2.90465,2.90465,0,0
5/29/2013,2.91969,2.91969,0,0
5/28/2013,2.94396,2.94396,0,0
5/24/2013,2.81497,2.81497,0,0
5/23/2013,2.82191,2.82191,0,0
5/22/2013,2.78844,2.78844,0,0
5/21/2013,2.66453,2.66453,0,0
5/20/2013,2.71288,2.71288,0,0
5/17/2013,2.68581,2.68581,0,0
5/16/2013,2.56388,2.56388,0,0
5/15/2013,2.66187,2.66187,0,0
5/14/2013,2.66272,2.66272,0,0
5/13/2013,2.621,2.621,0,0
5/10/2013,2.58686,2.58686,0,0
5/9/2013,2.49665,2.49665,0,0
5/8/2013,2.47245,2.47245,0,0
5/7/2013,2.48894,2.48894,0,0
5/6/2013,2.4724,2.4724,0,0
5/3/2013,2.45615,2.45615,0,0
5/2/2013,2.3421,2.3421,0,0
5/1/2013,2.31036,2.31036,0,0
4/30/2013,2.35354,2.35354,0,0
4/29/2013,2.37448,2.37448,0,0
4/26/2013,2.37951,2.37951,0,0
4/25/2013,2.43235,2.43235,0,0
4/24/2013,2.43239,2.43239,0,0
4/23/2013,2.43753,2.43753,0,0
4/22/2013,2.4461,2.4461,0,0
4/19/2013,2.44783,2.44783,0,0
4/18/2013,2.43192,2.43192,0,0
4/17/2013,2.45005,2.45005,0,0
4/16/2013,2.45465,2.45465,0,0
4/15/2013,2.43066,2.43066,0,0
4/12/2013,2.45324,2.45324,0,0
4/11/2013,2.51808,2.51808,0,0
4/10/2013,2.54479,2.54479,0,0
4/9/2013,2.48938,2.48938,0,0
4/8/2013,2.47695,2.47695,0,0
4/5/2013,2.41738,2.41738,0,0
4/4/2013,2.48587,2.48587,0,0
4/3/2013,2.56472,2.56472,0,0
4/2/2013,2.6102,2.6102,0,0
4/1/2013,2.59513,2.59513,0,0
3/28/2013,2.61433,2.61433,0,0
3/27/2013,2.60807,2.60807,0,0
3/26/2013,2.64256,2.64256,0,0
3/25/2013,2.63948,2.63948,0,0
3/22/2013,2.64148,2.64148,0,0
3/21/2013,2.67627,2.67627,0,0
3/20/2013,2.64698,2.64698,0,0
3/19/2013,2.60686,2.60686,0,0
3/18/2013,2.62963,2.62963,0,0
3/15/2013,2.66434,2.66434,0,0
3/14/2013,2.70546,2.70546,0,0
3/13/2013,2.70044,2.70044,0,0
3/12/2013,2.70646,2.70646,0,0
3/11/2013,2.73998,2.73998,0,0
3/8/2013,2.75192,2.75192,0,0
3/7/2013,2.67331,2.67331,0,0
3/6/2013,2.61255,2.61255,0,0
3/5/2013,2.56076,2.56076,0,0
3/4/2013,2.54578,2.54578,0,0
3/1/2013,2.52993,2.52993,0,0
2/28/2013,2.54484,2.54484,0,0
2/27/2013,2.57322,2.57322,0,0
2/26/2013,2.53896,2.53896,0,0
2/25/2013,2.55786,2.55786,0,0
2/22/2013,2.62514,2.62514,0,0
2/21/2013,2.62574,2.62574,0,0
2/20/2013,2.63797,2.63797,0,0
2/19/2013,2.63802,2.63802,0,0
2/15/2013,2.62079,2.62079,0,0
2/14/2013,2.60855,2.60855,0,0
2/13/2013,2.65372,2.65372,0,0
2/12/2013,2.60701,2.60701,0,0
2/11/2013,2.56531,2.56531,0,0
2/8/2013,2.57318,2.57318,0,0
2/7/2013,2.55136,2.55136,0,0
2/6/2013,2.55943,2.55943,0,0
2/5/2013,2.60052,2.60052,0,0
2/4/2013,2.55563,2.55563,0,0
2/1/2013,2.59141,2.59141,0,0
1/31/2013,2.57377,2.57377,0,0
1/30/2013,2.57729,2.57729,0,0
1/29/2013,2.55981,2.55981,0,0
1/28/2013,2.53933,2.53933,0,0
1/25/2013,2.50532,2.50532,0,0
1/24/2013,2.36742,2.36742,-4,0
1/23/2013,2.34331,2.34331,-4,0
1/22/2013,2.35221,2.35221,-4,0
1/18/2013,2.35028,2.35028,-4,0
1/17/2013,2.36891,2.36891,-4,0
1/16/2013,2.29441,2.29441,-4,0
1/15/2013,2.29384,2.29384,-4,0
1/14/2013,2.2784,2.2784,-4,0
12/14/2012,2.17471,2.17471,-4,0
12/13/2012,2.17954,2.17954,-4,0
12/12/2012,2.16985,2.16985,-4,0
12/11/2012,2.1257,2.1257,-4,0
12/10/2012,2.12632,2.12632,-4,0
12/7/2012,2.16633,2.16633,-4,0
12/6/2012,2.10827,2.10827,-4,0
12/5/2012,2.07994,2.07994,-4,0
12/4/2012,2.06783,2.06783,-4,0
12/3/2012,2.08622,2.08622,-4,0
11/30/2012,2.07253,2.07253,-4,0
11/29/2012,2.07244,2.07244,-4,0
11/28/2012,2.05097,2.05097,-4,0
11/27/2012,2.04405,2.04405,-4,0
11/26/2012,2.1329,2.1329,-4,0
11/23/2012,2.20126,2.20126,-4,0
11/21/2012,2.19254,2.19254,-4,0
11/20/2012,2.14204,2.14204,-4,0
11/19/2012,2.06997,2.06997,-4,0
11/16/2012,2.03611,2.03611,-4,0
11/15/2012,2.09234,2.09234,-4,0
11/14/2012,2.13435,2.13435,-4,0
11/13/2012,2.08298,2.08298,-4,0
11/9/2012,2.0596,2.0596,0,0
11/8/2012,2.04956,2.04956,0,0
11/7/2012,2.09197,2.09197,0,0
11/6/2012,2.24889,2.24889,0,0
11/5/2012,2.14794,2.14794,0,0
11/2/2012,2.19493,2.19493,0,0
11/1/2012,2.23243,2.23243,0,0
10/31/2012,2.14235,2.14235,0,0
10/29/2012,2.17586,2.17586,0,0
10/26/2012,2.20624,2.20624,0,0
10/25/2012,2.27753,2.27753,0,0
10/24/2012,2.22502,2.22502,0,0
10/23/2012,2.18831,2.18831,0,0
10/22/2012,2.2048,2.2048,0,0
10/19/2012,2.17149,2.17149,0,0
10/18/2012,2.23804,2.23804,0,0
10/17/2012,2.19994,2.19994,0,0
10/16/2012,2.09031,2.09031,0,0
10/15/2012,2.0434,2.0434,0,0
10/12/2012,2.01487,2.01487,0,0
10/11/2012,2.01882,2.01882,0,0
10/10/2012,2.0567,2.0567,0,0
10/9/2012,2.1122,2.1122,0,0
10/5/2012,2.09992,2.09992,0,0
10/4/2012,2.06588,2.06588,0,0
9/28/2012,2.03991,2.03991,0,0
9/27/2012,2.05097,2.05097,0,0
9/24/2012,2.04335,2.04335,0,0
9/21/2012,2.0967,2.0967,0,0
9/20/2012,2.16993,2.16993,0,0
9/19/2012,2.21086,2.21086,0,0
9/18/2012,2.2694,2.2694,0,0
9/17/2012,2.28117,2.28117,0,0
9/14/2012,2.26805,2.26805,0,0
9/13/2012,2.20601,2.20601,0,0
9/12/2012,2.42922,2.42922,0,0
9/11/2012,2.39371,2.39371,0,0
9/10/2012,2.37785,2.37785,0,0
9/7/2012,2.37384,2.37384,0,0
9/6/2012,2.45607,2.45607,0,0
9/5/2012,2.39528,2.39528,0,0
9/4/2012,2.38417,2.38417,0,0
8/31/2012,2.36895,2.36895,0,0
8/30/2012,2.43371,2.43371,0,0
8/29/2012,2.46878,2.46878,0,0
8/28/2012,2.41104,2.41104,0,0
8/27/2012,2.44075,2.44075,0,0
8/24/2012,2.47609,2.47609,0,0
8/23/2012,2.44471,2.44471,0,0
8/22/2012,2.51207,2.51207,0,0
