'loanID','beginLoanAge','JudicialFlag','origbalance','loanpurpose','occupancyStatus','propertyType','beginCoupon','currentValue','UPB','expenses','netSaleProceeds','timeDQ','ActuralLoss'
'F110Q2055441',37,'0',116000.00,'RE-FI-NCO','OWNER','SFR',5.500,146653.00,113067.95,-22920.00,'75300',16,66028.71
'F110Q2064210',47,'1',112000.00,'PURCH','OWNER','SFR',5.125,145348.00,107836.66,-12809.00,'77600',19,50027.30
'F110Q2070144',23,'0',147000.00,'PURCH','OWNER','SFR',5.190,158410.88,144347.88,-5086.00,'91300',10,63129.20
'F110Q2081033',29,'0',233000.00,'PURCH','OWNER','PUD',5.500,221227.36,228879.18,-26961.00,'147100',15,71440.38
'F110Q2084476',47,'0',44000.00,'PURCH','OWNER','SFR',5.875,53564.50,42017.00,-1483.00,'30500',9,14508.59
'F110Q2091121',46,'1',181000.00,'PURCH','OWNER','CONDO',5.250,193517.57,172204.12,-5298.00,'153000',10,11523.29
'F110Q2097148',43,'1',83000.00,'RE-FI-NCO','INV','SFR',5.375,113001.73,80771.02,-21362.00,'52300',26,56501.97
'F110Q2105344',23,'0',194000.00,'PURCH','OWNER','SFR',5.000,236680.00,191833.76,-1551.00,'233100',16,-27565.77
'F110Q2117864',42,'0',122000.00,'RE-FI-NCO','OWNER','SFR',5.375,157142.33,118218.89,-38761.00,'125100',23,42040.43
'F110Q2132683',16,'0',229000.00,'PURCH','OWNER','SFR',5.000,271971.17,227461.14,-10894.00,'200600',10,17932.81
'F110Q2140864',44,'1',152000.00,'RE-FI-CO','OWNER','SFR',5.000,179360.00,149689.71,-18625.00,'113000',33,74492.92
'F110Q2146301',42,'0',82000.00,'RE-FI-CO','OWNER','SFR',5.000,101280.25,78634.58,-6017.00,'35400',11,51882.46
'F110Q2156342',50,'0',278000.00,'RE-FI-CO','INV','SFR',5.000,435792.79,274571.70,-145.00,'273100',8,10311.46
'F110Q2161700',47,'1',79000.00,'RE-FI-CO','OWNER','SFR',5.625,118228.80,75510.90,-110.00,'',11,79341.38
'F110Q2178925',44,'0',95000.00,'RE-FI-CO','2ND','SFR',5.625,123575.99,92326.46,-12973.00,'46000',18,65603.28
'F110Q2192469',41,'0',130000.00,'PURCH','OWNER','SFR',4.875,145682.10,127021.24,-40810.00,'209500',24,-34875.30
'F110Q3005124',33,'0',135000.00,'RE-FI-NCO','OWNER','SFR',4.625,158085.00,129661.08,-345.00,'98300',4,33596.97
'F110Q3007144',48,'1',149000.00,'PURCH','OWNER','SFR',4.750,159363.77,145021.33,-20207.00,'103500',31,37949.06
'F110Q3008933',46,'0',105000.00,'PURCH','OWNER','PUD',4.875,112747.89,99677.97,-6289.00,'66800',12,11809.08
'F110Q3013599',41,'0',64000.00,'RE-FI-NCO','OWNER','SFR',5.125,80888.00,62067.77,-9953.00,'45600',15,29663.02
'F110Q3019924',41,'0',281000.00,'RE-FI-CO','OWNER','SFR',6.125,373542.66,270878.18,-3748.00,'151000',8,134051.57
'F110Q3022119',24,'0',164000.00,'RE-FI-CO','OWNER','SFR',4.875,187288.00,159551.42,-145.00,'143700',4,16558.16
'F110Q3030196',35,'0',323000.00,'RE-FI-NCO','OWNER','SFR',4.625,342176.00,301897.88,-5014.00,'273100',5,764.23
'F110Q3031837',27,'0',198000.00,'PURCH','OWNER','PUD',5.125,204280.64,194395.12,-9581.00,'174800',14,11744.34
'F110Q3041990',22,'0',101000.00,'RE-FI-NCO','OWNER','SFR',4.875,114454.64,99099.67,-9733.00,'77000',10,26598.14
'F110Q3054307',18,'1',126000.00,'RE-FI-NCO','OWNER','SFR',4.750,153544.56,124600.83,-8769.00,'86100',14,53653.37
'F110Q3061446',21,'1',344000.00,'RE-FI-NCO','OWNER','SFR',4.250,389494.00,338200.65,-8976.00,'278500',10,76544.00
'F110Q3079178',24,'0',83000.00,'RE-FI-CO','OWNER','SFR',4.875,100315.88,78900.05,-4465.00,'41100',8,43988.80
'F110Q3096121',22,'0',164000.00,'RE-FI-CO','OWNER','SFR',4.875,181753.00,162777.74,-8901.00,'68600',17,111703.07
'F110Q3125380',18,'0',132000.00,'PURCH','OWNER','SFR',4.625,130138.10,130548.95,-5146.00,'104600',13,3032.43
'F110Q3128231',30,'1',374000.00,'RE-FI-CO','OWNER','SFR',4.750,470245.82,360908.60,-200.00,'223900',4,142622.23
'F110Q3191593',15,'0',269000.00,'RE-FI-NCO','OWNER','SFR',4.500,288874.35,266818.13,-5943.00,'0',11,2274.92
'F110Q4012873',43,'1',164000.00,'RE-FI-NCO','OWNER','SFR',4.625,201515.00,157979.85,-3165.00,'63800',17,107136.31
'F110Q4030359',35,'0',277000.00,'RE-FI-NCO','2ND','PUD',4.500,379259.16,271382.47,-22744.00,'306900',21,7064.54
'F110Q4035917',33,'1',378000.00,'RE-FI-NCO','OWNER','SFR',4.375,378318.31,362454.92,-5570.00,'281400',5,303.61
'F110Q4048203',37,'1',73000.00,'RE-FI-CO','OWNER','SFR',4.875,88165.75,70151.01,-9188.00,'36300',10,45742.75
'F110Q4073804',42,'1',99000.00,'RE-FI-NCO','OWNER','SFR',4.750,127992.85,97240.55,-22429.00,'45900',27,81836.16
'F110Q4084875',29,'1',148000.00,'RE-FI-CO','OWNER','CONDO',4.875,194570.66,144220.44,-1177.00,'150000',11,1511.79
'F110Q4095376',30,'1',300000.00,'RE-FI-CO','OWNER','SFR',4.375,364692.30,288599.87,-295.00,'230300',5,62125.18
'F110Q4103689',29,'0',92000.00,'PURCH','OWNER','SFR',4.375,113378.50,89779.16,-10460.00,'87200',13,15358.17
'F110Q4127422',43,'1',158000.00,'RE-FI-NCO','OWNER','SFR',4.750,193380.00,153169.89,-13809.00,'115300',23,62691.79
'F110Q4184739',28,'0',169000.00,'PURCH','OWNER','CONDO',4.875,172113.15,166487.69,-14106.00,'129300',17,6587.10
'F110Q4196673',35,'0',219000.00,'RE-FI-CO','OWNER','SFR',4.750,258392.63,214550.76,-46350.00,'202800',22,74776.20
'F110Q4201840',41,'0',77000.00,'RE-FI-CO','OWNER','SFR',5.000,136590.16,75387.04,-15896.00,'63000',30,35453.25
'F110Q4215342',43,'0',116000.00,'RE-FI-CO','OWNER','PUD',4.750,161239.99,111412.84,-9727.00,'62700',13,63439.22
'F111Q1002030',34,'0',145000.00,'RE-FI-CO','OWNER','SFR',4.875,224584.28,140905.74,-18446.00,'117700',13,46893.70
'F111Q1047371',34,'1',214000.00,'RE-FI-NCO','OWNER','SFR',5.125,275308.10,211176.57,-35712.00,'219200',24,47564.29
'F111Q1085031',25,'0',105000.00,'RE-FI-CO','OWNER','SFR',5.375,133638.75,104242.02,-12747.00,'54500',18,66939.63
'F111Q1108309',25,'1',310000.00,'RE-FI-CO','INV','SFR',4.875,639061.69,292568.78,-10300.00,'0',8,53684.65
'F111Q1117761',7,'1',88000.00,'RE-FI-CO','OWNER','SFR',5.250,108163.00,87593.58,-933.00,'34300',4,55686.47
'F111Q1117977',31,'0',275000.00,'RE-FI-NCO','OWNER','SFR',5.125,314477.77,267859.77,-4519.00,'233100',11,-749.25
'F111Q1119520',40,'0',65000.00,'RE-FI-CO','OWNER','SFR',5.250,89489.18,62678.69,-4658.00,'36000',12,34470.62
'F111Q1120491',25,'0',298000.00,'PURCH','OWNER','SFR',5.125,326294.32,293760.53,-8654.00,'275600',14,7831.16
'F111Q1124161',36,'0',240000.00,'RE-FI-NCO','OWNER','PUD',4.875,306690.00,234436.07,-35615.00,'270700',18,11020.07
'F111Q1124177',33,'1',80000.00,'RE-FI-CO','OWNER','CONDO',4.875,103168.83,78339.93,-11804.00,'47500',19,48380.70
'F111Q2038223',29,'0',64000.00,'RE-FI-NCO','OWNER','SFR',5.750,88304.00,63105.87,-11446.00,'33900',17,44830.87
'F111Q2069319',26,'0',53000.00,'PURCH','OWNER','SFR',5.250,60096.10,52369.17,-15398.00,'30500',16,25199.45
'F111Q2099301',17,'0',343000.00,'RE-FI-NCO','OWNER','SFR',5.500,354654.62,337584.40,-2100.00,'313200',4,-1868.87
'F111Q2106486',37,'1',38000.00,'RE-FI-CO','OWNER','CONDO',4.750,70242.02,37458.07,-220.00,'',21,40627.89
'F111Q3018102',29,'0',68000.00,'RE-FI-NCO','OWNER','SFR',4.750,82951.50,66861.01,-9420.00,'22800',17,56990.40
'F111Q3021447',32,'1',112000.00,'PURCH','OWNER','SFR',4.625,144578.00,108775.20,-5062.00,'77100',12,40398.12
'F111Q3025826',29,'0',362000.00,'PURCH','OWNER','SFR',4.750,440272.44,355119.68,-34466.00,'344500',18,-25489.74
'F111Q3055284',31,'1',116000.00,'RE-FI-NCO','OWNER','PUD',4.875,123118.73,114207.21,-22413.00,'90400',21,15688.86
'F111Q3055553',26,'1',138000.00,'RE-FI-CO','OWNER','SFR',4.875,183253.24,136623.07,-20324.00,'142000',19,22681.86
'F111Q3058264',33,'0',135000.00,'PURCH','OWNER','SFR',4.500,147434.21,133840.09,-16814.00,'88500',25,27010.51
'F111Q3064851',31,'1',226000.00,'PURCH','OWNER','PUD',4.500,285607.50,223284.01,-31348.00,'227400',22,41102.56
'F111Q3085714',33,'1',158000.00,'RE-FI-CO','OWNER','SFR',4.625,227368.49,151998.89,-310.00,'129400',6,26233.87
'F111Q4066416',17,'0',134000.00,'RE-FI-CO','OWNER','PUD',4.375,166645.75,132326.37,-23792.00,'128600',11,29928.96
'F111Q4071319',25,'1',88000.00,'RE-FI-CO','OWNER','SFR',5.155,115405.71,87794.08,-37162.00,'62100',24,68605.67
'F112Q1123784',27,'0',131000.00,'RE-FI-NCO','OWNER','SFR',4.375,152056.52,127917.29,-7489.00,'65200',13,33798.58
'F112Q4006947',12,'0',185000.00,'PURCH','OWNER','SFR',4.000,199507.89,183362.84,-145.00,'172400',6,1031.89
'F112Q4229379',16,'0',114000.00,'PURCH','OWNER','PUD',3.750,141564.00,112766.45,-5193.00,'114000',10,4698.47
'F113Q3356016',10,'0',238000.00,'PURCH','OWNER','PUD',4.625,278284.63,237500.00,-20061.00,'194700',11,8059.74
'F199Q1000338',38,'1',126000.00,'RE-FI-NCO','OWNER','SFR',7.250,176736.00,125196.77,-26887.00,'152700',31,11301.52
'F199Q1000562',37,'0',88000.00,'PURCH','OWNER','SFR',6.875,121858.00,86103.65,-17814.00,'86200',14,22723.74
'F199Q1000587',95,'1',58000.00,'PURCH','OWNER','SFR',7.000,79603.50,53668.91,-11466.00,'16600',21,54266.55
'F199Q1001255',43,'0',67000.00,'RE-FI-CO','OWNER','SFR',6.875,108611.46,64922.06,-3119.00,'73800',9,-2633.13
'F199Q1005658',169,'0',76000.00,'PURCH','OWNER','SFR',7.250,94008.00,69086.62,-10369.00,'25800',15,34943.69
'F199Q1005660',50,'0',105000.00,'PURCH','OWNER','SFR',7.250,141230.52,100178.15,-5226.00,'73800',11,3840.25
