"LoanID","Index","DelinqStatus","EndStatus"
"F100Q1001377",37,1,"btc"
"F100Q1001380",98,1,"btc"
"F100Q1001384",33,2,"btc"
"F100Q1001384",53,1,"btc"
"F100Q1001384",56,1,"btc"
"F100Q1001384",58,1,"btc"
"F100Q1001401",23,1,"btc"
"F100Q1001407",24,1,"btc"
"F100Q1001418",20,1,"btc"
"F100Q1001418",27,1,"btc"
"F100Q1001418",29,1,"btc"
"F100Q1001427",8,1,"btc"
"F100Q1001439",39,1,"btc"
"F100Q1001439",49,3,"btc"
"F100Q1001439",53,1,"btc"
"F100Q1001439",55,1,"btc"
"F100Q1001439",60,1,"btc"
"F100Q1001439",64,1,"btc"
"F100Q1001439",86,1,"btc"
"F100Q1001444",10,2,"btc"
"F100Q1001444",13,1,"btc"
"F100Q1001444",22,1,"btc"
"F100Q1001444",31,1,"btc"
"F100Q1001458",6,1,"btc"
"F100Q1001458",13,1,"btc"
"F100Q1001458",21,1,"btc"
"F100Q1001458",23,1,"btc"
"F100Q1001458",28,3,"btc"
"F100Q1001458",37,4,"btc"
"F100Q1001458",48,1,"btc"
"F100Q1001488",8,1,"btc"
"F100Q1001493",11,1,"btc"
"F100Q1001503",14,1,"btc"
"F100Q1001506",21,1,"btc"
"F100Q1001509",23,2,"btc"
"F100Q1001509",25,1,"btc"
"F100Q1001515",44,6,"btc"
"F100Q1001520",28,1,"btc"
"F100Q1001526",22,1,"btc"
"F100Q1001527",24,1,"btc"
"F100Q1001530",22,1,"btc"
"F100Q1001538",18,1,"btc"
"F100Q1001540",19,1,"btc"
"F100Q1001549",13,2,"btc"
"F100Q1001551",24,1,"btc"
"F100Q1001551",26,1,"btc"
"F100Q1001552",33,1,"btc"
"F100Q1001557",22,1,"btc"
"F100Q1001575",67,1,"btc"
"F100Q1001575",72,1,"btc"
"F100Q1001575",74,1,"btc"
"F100Q1001579",6,1,"btc"
"F100Q1001583",20,1,"btc"
"F100Q1001590",60,1,"btc"
"F100Q1001590",64,1,"btc"
"F100Q1001596",38,1,"btc"
"F100Q1001600",4,1,"btc"
"F100Q1001606",6,1,"btc"
"F100Q1001606",8,1,"btc"
"F100Q1001606",11,1,"btc"
"F100Q1001606",24,1,"btc"
"F100Q1001606",26,1,"btc"
"F100Q1001613",17,1,"btc"
"F100Q1001613",45,1,"btc"
"F100Q1001625",21,1,"btc"
"F100Q1001625",76,1,"btc"
"F100Q1001631",15,1,"btc"
"F100Q1001631",25,1,"btc"
"F100Q1001631",132,1,"btc"
"F100Q1001642",32,7,"btc"
"F100Q1001642",38,8,"btc"
"F100Q1001642",39,6,"btc"
"F100Q1001642",41,6,"btc"
"F100Q1001642",45,5,"btc"
"F100Q1001642",65,3,"btc"
"F100Q1001646",11,1,"btc"
"F100Q1001651",5,2,"btc"
"F100Q1001653",23,3,"btc"
"F100Q1001653",28,1,"btc"
"F100Q1001653",41,1,"btc"
"F100Q1001653",47,1,"btc"
"F100Q1001653",57,1,"btc"
"F100Q1001653",59,1,"btc"
"F100Q1001653",64,1,"btc"
"F100Q1001653",67,1,"btc"
"F100Q1001653",70,1,"btc"
"F100Q1001653",72,1,"btc"
"F100Q1001653",74,1,"btc"
"F100Q1001653",82,2,"btc"
"F100Q1001653",88,3,"btc"
"F100Q1001653",89,2,"btc"
"F100Q1001653",99,3,"btc"
"F100Q1001653",101,2,"btc"
"F100Q1001653",104,2,"btc"
"F100Q1001653",106,1,"btc"
"F100Q1001653",137,20,"btc"
"F100Q1001661",23,1,"btc"
"F100Q1001661",26,1,"btc"
"F100Q1001661",40,1,"btc"
"F100Q1001661",49,2,"btc"
"F100Q1001663",39,1,"btc"
"F100Q1001665",14,1,"btc"
"F100Q1001669",19,1,"btc"
"F100Q1001674",21,5,"btc"
"F100Q1001674",26,4,"btc"
"F100Q1001674",29,4,"btc"
"F100Q1001674",32,3,"btc"
"F100Q1001712",12,2,"btc"
"F100Q1001802",19,1,"btc"
"F100Q1001803",6,1,"btc"
"F100Q1001803",14,1,"btc"
"F100Q1001803",26,1,"btc"
"F100Q1001815",10,2,"btc"
"F100Q1001825",15,1,"btc"
"F100Q1001831",12,1,"btc"
"F100Q1001843",12,1,"btc"
"F100Q1001843",17,1,"btc"
"F100Q1001843",22,2,"btc"
"F100Q1001843",27,2,"btc"
"F100Q1001843",29,1,"btc"
"F100Q1001883",21,1,"btc"
"F100Q1001886",4,1,"btc"
"F100Q1001899",7,1,"btc"
"F100Q1001971",10,1,"btc"
"F100Q1002005",3,1,"btc"
"F100Q1002102",10,1,"btc"
"F100Q1002107",6,1,"btc"
"F100Q1002107",11,1,"btc"
"F100Q1002107",14,2,"btc"
"F100Q1002107",26,1,"btc"
"F100Q1002108",4,3,"btc"
"F100Q1002117",45,1,"btc"
"F100Q1002121",7,1,"btc"
"F100Q1002122",15,1,"btc"
"F100Q1002139",24,1,"btc"
"F100Q1002141",18,1,"btc"
"F100Q1002141",21,2,"btc"
"F100Q1002143",10,1,"btc"
"F100Q1002145",8,1,"btc"
"F100Q1002145",12,1,"btc"
"F100Q1002145",15,1,"btc"
"F100Q1002145",28,2,"btc"
"F100Q1002145",43,1,"btc"
