"loanID","HPA2Yr","currentValue","UPB","CLTV","BaseSev"
"103902014932",0.95831988379599741768883150,135660.00,132273.92,0.97503995282323455,0.55
"103930418703",0.69326677808074588794089189,161990.00,154338.22,0.95276387431322921,0.55
"103935191402",0.84730346502837488970948661,155891.75,152011.97,0.97511234558595948,0.08
"103935891989",0.96191911909287287954612546,134022.00,124989.94,0.93260763158287445,0.71
"103953384935",0.86588996604498023200129433,221280.00,205232.63,0.92747934743311641,0.45
"103958581832",1.09019386086764254414756750,171557.89,167879.14,0.97855680085596762,0.01
"103959678301",0.90643875437344269449641530,136479.75,135819.98,0.99516580298542457,0.47
"103982230025",0.94693070127287614692303445,193440.00,183511.78,0.94867545492142266,0.60
"104003465508",0.86502817716256844476185780,79938.50,73981.01,0.92547408320146112,0.65
"104004454186",1.02634944998720644666155026,238625.50,217277.45,0.91053743208500348,-0.12
"104011605064",0.96211257667046897899364924,80993.68,76775.57,0.94792050441466544,0.86
"104021254528",0.92593434425431048478747929,207511.53,191131.44,0.92106419339686811,0.54
"104039000912",0.94879085267051881745085450,368234.52,356291.97,0.96756808677252746,0.24
"104064551145",1.00389397561378828198998691,274797.44,272316.22,0.99097073102282175,0.43
"104075113442",0.86798179960557951386413857,251645.63,228523.05,0.90811451802282439,0.23
"104077930082",0.90129729615054066106457596,73624.00,68006.01,0.92369349668586330,0.47
"104103003526",0.84829153834873148555506672,106154.50,105466.26,0.99351661964400943,0.98
"104111346526",0.84004208311415078370945162,79364.94,72428.34,0.91259868652329353,0.59
"104112130991",0.98814411098527746319365798,64178.94,60545.20,0.94338111536276541,0.21
"104115474471",0.91076507737550016873162030,362112.42,336064.23,0.92806601331155667,0.37
"104117194940",0.89487331456512075863090828,175312.35,170848.99,0.97454052723610173,0.47
"104117676563",0.92618975994224062789271410,409688.96,387288.29,0.94532273947533270,0.13
"104130455500",0.86847025603846300606708131,74835.00,70553.97,0.94279374624173180,0.86
"104135153787",0.86024053433433943257440347,75933.00,70890.87,0.93359764529256054,0.78
